president_year,sentence,label
Estrada-1998, state nation address excellency joseph ejercito estrada president philippines congress session hall house representatives pangalawang pangulo republika pilipinas.,
Estrada-1998,kagalanggalang pangulo senado.,
Estrada-1998,kagalanggalang speaker mababang kapulungan.,
Estrada-1998,kagalanggalang punong hukom korte suprema.,
Estrada-1998,kagalanggalang miyembro kongreso pilipinas.,
Estrada-1998,kagalanggalang kagawad gabinete.,
Estrada-1998,excellencies diplomatic corps.,
Estrada-1998,piling panauhin.,
Estrada-1998,"minamahal kababayan noong mayo onse, mahigit milyong pilipino nagdesisyon pamunuan natin bansa, patungo bagong milenyo.",
Estrada-1998,"ngayon, nagtatanong, ba bagong pamunuang upang ihatid bansa bagong siglo today, stand accounting present road map future.",
Estrada-1998,ba itatawid krisis nakabalot ekonomiya ba ba nanggaling ba patutungo magpapaliguyligoy.,
Estrada-1998,nasa harap matinding krisis gumugulo buong asya.,
Estrada-1998,"ayon eksperto, wala pinakamalubhang yugto krisis.",
Estrada-1998,"babalewalain natin kinalalagyan natin ngayon, tiyak lulubog bansa bigat ganap recession.",
Estrada-1998,"malubha lagay ekonomiya, namimiligro kabangyaman bansa.",
Estrada-1998,ngunit nangangahulugan magagawa pamahalaan.,
Estrada-1998,lalong nangangahulugan magagawa sambayanang pilipino.,
Estrada-1998,sawa taumbayan walangkabuluhang pangakot palabas.,
Estrada-1998,"harap matinding krisis pinagdaanan nitong nakaraang taon, natiy mabilis mabisang lunas.",
Estrada-1998,"matinding hamon nating tugunan—tayong panguluhan, kongreso, pribadong sektor, mamamayan.",
Estrada-1998,"mabigat hamon ito—subalit buo tiwala mas matimbang pinagsama nating talino, sipag, kakayahan.",
Estrada-1998,let us first make accounting present.,
Estrada-1998,true accounting perhaps long overdue.,
Estrada-1998,"nitong unang bahagi , paglago gross domestic product katumbas percent antas naitala noong .",
Estrada-1998,nangalahati produksyon pabrika natin.,
Estrada-1998,pawang pagbabawas imbentaryo—at paglikha produkto—ang industriya natin.,
Estrada-1998,"pangangamba recession, lalo pinalala problema.",
Estrada-1998,bumagsak produksyong pangagrikultura.,
Estrada-1998,"bumaba nang percent ani palay, bumaba nang percent ani mais.",
Estrada-1998,"malimit nating tukuyin phenomenon el niño, subalit tunay ugat suliranin pangkalahatang sektor agrikultura.",
Estrada-1998,halos doubledigit inflation rate.,
Estrada-1998,napakataas interes sinisingil bangko naman makautang nating negosyante.,
Estrada-1998,"lalo namang hinigpitan bangko pagpapautang, kayat maraming kalakal nagsasara.",
Estrada-1998,"debalwasyon el niño, tuluytuloy pagbagsak piso.",
Estrada-1998,"lubhang mabigat kababayan natin kahig, tuka kinagisnang pamumuhay.",
Estrada-1998,unemployment .,
Estrada-1998,"percent still growing underemployment, percent also growing.",
Estrada-1998,.,
Estrada-1998,million filipinos need job.,
