president_year,sentence,label,polarity
Estrada-1998, state nation address excellency joseph ejercito estrada president philippines congress session hall house representatives pangalawang pangulo republika pilipinas.,neutral,0.0
Estrada-1998,kagalanggalang pangulo senado.,neutral,0.0
Estrada-1998,kagalanggalang speaker mababang kapulungan.,neutral,0.0
Estrada-1998,kagalanggalang punong hukom korte suprema.,neutral,0.0
Estrada-1998,kagalanggalang miyembro kongreso pilipinas.,neutral,0.0
Estrada-1998,kagalanggalang kagawad gabinete.,neutral,0.0
Estrada-1998,excellencies diplomatic corps.,neutral,0.0
Estrada-1998,piling panauhin.,neutral,0.0
Estrada-1998,"minamahal kababayan noong mayo onse, mahigit milyong pilipino nagdesisyon pamunuan natin bansa, patungo bagong milenyo.",neutral,0.0
Estrada-1998,"ngayon, nagtatanong, ba bagong pamunuang upang ihatid bansa bagong siglo today, stand accounting present road map future.",neutral,0.0
Estrada-1998,ba itatawid krisis nakabalot ekonomiya ba ba nanggaling ba patutungo magpapaliguyligoy.,neutral,0.0
Estrada-1998,nasa harap matinding krisis gumugulo buong asya.,neutral,0.0
Estrada-1998,"ayon eksperto, wala pinakamalubhang yugto krisis.",neutral,0.0
Estrada-1998,"babalewalain natin kinalalagyan natin ngayon, tiyak lulubog bansa bigat ganap recession.",neutral,0.0
Estrada-1998,"malubha lagay ekonomiya, namimiligro kabangyaman bansa.",neutral,0.0
Estrada-1998,ngunit nangangahulugan magagawa pamahalaan.,neutral,0.0
Estrada-1998,lalong nangangahulugan magagawa sambayanang pilipino.,neutral,0.0
Estrada-1998,sawa taumbayan walangkabuluhang pangakot palabas.,neutral,0.0
Estrada-1998,"harap matinding krisis pinagdaanan nitong nakaraang taon, natiy mabilis mabisang lunas.",neutral,0.0
Estrada-1998,"matinding hamon nating tugunan—tayong panguluhan, kongreso, pribadong sektor, mamamayan.",neutral,0.0
Estrada-1998,"mabigat hamon ito—subalit buo tiwala mas matimbang pinagsama nating talino, sipag, kakayahan.",neutral,0.0
Estrada-1998,let us first make accounting present.,neutral,0.125
Estrada-1998,true accounting perhaps long overdue.,neutral,0.15
Estrada-1998,"nitong unang bahagi , paglago gross domestic product katumbas percent antas naitala noong .",neutral,0.0
Estrada-1998,nangalahati produksyon pabrika natin.,neutral,0.0
Estrada-1998,pawang pagbabawas imbentaryo—at paglikha produkto—ang industriya natin.,neutral,0.0
Estrada-1998,"pangangamba recession, lalo pinalala problema.",neutral,0.0
Estrada-1998,bumagsak produksyong pangagrikultura.,neutral,0.0
Estrada-1998,"bumaba nang percent ani palay, bumaba nang percent ani mais.",neutral,0.0
Estrada-1998,"malimit nating tukuyin phenomenon el niño, subalit tunay ugat suliranin pangkalahatang sektor agrikultura.",neutral,0.0
Estrada-1998,halos doubledigit inflation rate.,neutral,0.0
Estrada-1998,napakataas interes sinisingil bangko naman makautang nating negosyante.,neutral,0.0
Estrada-1998,"lalo namang hinigpitan bangko pagpapautang, kayat maraming kalakal nagsasara.",neutral,0.0
Estrada-1998,"debalwasyon el niño, tuluytuloy pagbagsak piso.",neutral,0.0
Estrada-1998,"lubhang mabigat kababayan natin kahig, tuka kinagisnang pamumuhay.",neutral,0.0
Estrada-1998,unemployment .,neutral,0.0
Estrada-1998,"percent still growing underemployment, percent also growing.",neutral,0.0
Estrada-1998,.,neutral,0.0
Estrada-1998,million filipinos need job.,neutral,0.0
Estrada-1998,"twice number wish real, fulltime job.",neutral,0.2
Estrada-1998,"sabihing maliit pa. subalit mo sasabihin pamilyang gutom mas masama kalagayan ibang pamilya ibang bansa one lost job one hungry family, one cold statistic cannot agree.",negative,-0.6
Estrada-1998,statistics claim number poor people gone past decade.,negative,-0.325
Estrada-1998,wonder people believe statistics.,neutral,0.0
Estrada-1998,wala statistics iyan.,neutral,0.0
Estrada-1998,"poor poor—walang pera, pagkain, bubong, dignidad, lalunglalo na, pagasa.",negative,-0.4
Estrada-1998,lang iyan.,neutral,0.0
Estrada-1998,"yung mayaman higit pang yumaman, mahihirap lalong humirap.",neutral,0.0
Estrada-1998,wish could say shall set job security fund soon.,neutral,0.0
Estrada-1998,dont want add inventory unfunded laws bills amount billion worth promises never fulfilled.,neutral,0.3
Estrada-1998,"according statistics, past six years, philippine economy grew, richest percent got percent national income.",negative,-0.25
Estrada-1998,poorest percent wala pang dalawang porsiyento.,neutral,0.0
Estrada-1998,"worse countryside, percent filipinos still work onethird wages city.",negative,-0.4
Estrada-1998,come here.,neutral,0.0
Estrada-1998,"find jobs, none qualify.",neutral,0.0
Estrada-1998,"noong araw, inakala kusang darating bansa banyagang negosyante manggagawa natin mahuhusay handang tumanggap mababang sahod.",neutral,0.0
Estrada-1998,totoo.,neutral,0.0
Estrada-1998,napakababa productivity karaniwang manggagawang pilipino kalahati lang nakapagtapos mababang paaralan samantalang tatlumput tatlong porsiyento lang nakaabot high school.,neutral,0.16
Estrada-1998,"ngunit limitado pondo maari nating ilaan edukasyon kakulangan tayong , silidaralan, , guro.",neutral,0.0
Estrada-1998,"larangan edukasyon—hanggang ngayon, mahigit tatlumpung porsiyento tahanan bansa wala ring kuryente.",neutral,0.0
Estrada-1998,"boung asya, sunod bansang hapon taas singil natin kuryente.",neutral,0.0
Estrada-1998,"larangan agrarian reform, nasa taon na.",neutral,0.0
Estrada-1998,"percent target areas distributed, productivity become lower.",neutral,0.0
Estrada-1998,"mean land left landlords, farmers left fend themselves.",negative,-0.10416666666666667
