president_year,sentence,label,sentiment_label,sentiment_score
Quezon-1935,"message excellency manuel l. quezon president philippines first national assembly national defense mr. speaker, gentlemen national assembly appear first time, allow extend cordial greetings congratulations upon election august body.",,POSITIVE,0.9965088963508606
Quezon-1935,unique privilege serve country critical period existence—at time course destiny charted.,,POSITIVE,0.9979154467582703
Quezon-1935,framers constitution conferred upon government power authority needed meet demands progressive enlightened epoch may able promote welfare happiness people safeguard liberty.,,POSITIVE,0.9931318163871765
Quezon-1935,know well aware share responsibility task government belongs you.,,POSITIVE,0.9939360022544861
Quezon-1935,"unlike legislature preceded you, two houses, national assembly whole legislative department government.",,POSITIVE,0.8902251124382019
Quezon-1935,"take final action measure, legislative branch pass upon give consideration.",,POSITIVE,0.963494598865509
Quezon-1935,"measure pass goes directly chief executive, devoid power alter way alternative except giving express implied approval, vetoing it.",,NEGATIVE,-0.9939175248146057
Quezon-1935,"opinion, main responsibility legislative action yours.",,POSITIVE,0.9626421332359314
Quezon-1935,"policy chief executive give you, every case, benefit doubt.",,POSITIVE,0.8940803408622742
Quezon-1935,"may, therefore, rest assured that, ever, shall exercise veto power reluctance, strongly convinced plain unavoidable duty interest common weal.",,NEGATIVE,-0.735427975654602
Quezon-1935,"article vii, section , constitution directs president present national assembly, time time, information state nation, recommend consideration measures shall judge necessary expedient.",,POSITIVE,0.9415545463562012
Quezon-1935,"fulfillment duty, addressing national assembly today fundamental responsibility state—on question involving existence become free member family nations.",,POSITIVE,0.9941307902336121
Quezon-1935,question assuring future safety beloved country.,,NEGATIVE,-0.9850480556488037
Quezon-1935,"selfdefense supreme right mankind, sacred individual nation, interests immeasurably greater significance extent.",,POSITIVE,0.9884092807769775
Quezon-1935,"threat nation involves alone life one individual, millions welfare fortune single family, all.",,NEGATIVE,-0.9547162055969238
Quezon-1935,"everything else, depending upon exercise right national selfdefense freedom itself, precious reward heaven worthy.",,POSITIVE,0.9977362155914307
Quezon-1935,immutable principle firmly incorporated constitution—the magna charta philippine liberty.,,POSITIVE,0.997401237487793
Quezon-1935,"we, citizens islands, fairly started upon final stretch long road patiently persistently followed toward goal independence.",,NEGATIVE,-0.7690470218658447
Quezon-1935,trail tortuous one.,,NEGATIVE,-0.9819502830505371
Quezon-1935,difficulties encountered frustrations endured deterred us purpose.,,NEGATIVE,-0.9972488284111023
Quezon-1935,"served spur us onward—to increase intensity undying devotion cause cost could great, sacrifice bitter.",,POSITIVE,0.9391895532608032
Quezon-1935,"last, success plainly sight, love liberty voice reason alike urge us guard cherish prize hardly won.",,POSITIVE,0.8952467441558838
Quezon-1935,"would recreant duty come you, first appearance national assembly, ask ungrudging support establishment sound system national defense.",,NEGATIVE,-0.7790009379386902
Quezon-1935,first urgent need.,,POSITIVE,0.9223911762237549
Quezon-1935,commit important task realize warweary world groans burden armaments.,,NEGATIVE,-0.9298858642578125
Quezon-1935,every accretion accumulated total invariably subjected careful even suspicious scrutiny.,,NEGATIVE,-0.987223744392395
Quezon-1935,"world must well aware present state development, establishment within islands aggressive force capable threatening security nation would fantastic.",,POSITIVE,0.9886044263839722
Quezon-1935,"consequently, without fear act may misunderstood resented others, free undertake every preparatory measure defense circumstances situation may require.",,POSITIVE,0.9627289772033691
Quezon-1935,"nevertheless, well announce, clear delineation objective, definite limits upon efforts shall make direction.",,POSITIVE,0.9848581552505493
Quezon-1935,objective single one—peace—permanent peace!,,POSITIVE,0.9992470741271973
Quezon-1935,objective proclaimed constitution filipino dares challenge it.,,POSITIVE,0.979921817779541
Quezon-1935,"purpose own, conceivable temptation manipulation abroad, ever lead us war save defense rights, waged within limits territory.",,NEGATIVE,-0.7878187894821167
Quezon-1935,"full desire insure domestic tranquillity guarantee citizens opportunity pursue, without external molestation, prosperity happiness stable government, devised, developed, maintained people themselves.",,POSITIVE,0.9976404905319214
Quezon-1935,furtherance purpose shall submit comprehensive plan national defense.,,POSITIVE,0.9510639905929565
Quezon-1935,"opinion plan reflects lessons history, conclusions acknowledged masters warfare statesmanship, sentiments aspirations filipino people.",,POSITIVE,0.995301365852356
Quezon-1935,founded upon enduring principles fundamental plan applicable needs.,,POSITIVE,0.9995068311691284
Quezon-1935,first principles every citizen obligated nations defense.,,POSITIVE,0.987717866897583
Quezon-1935,individual national resources may used state interest selfpreservation.,,NEGATIVE,-0.9883307218551636
Quezon-1935,man inalienable right enjoy privileges opportunities conferred upon free institutions unless simultaneously acknowledges duty defend life property government acquires opportunities privileges.,,POSITIVE,0.9817368984222412
Quezon-1935,deny individual responsibility reject whole theory democratic government.,,NEGATIVE,-0.9930376410484314
Quezon-1935,principle knows limitation time condition.,,POSITIVE,0.9628586173057556
Quezon-1935,"effective war, peace, long nation shall endure.",,POSITIVE,0.9863287806510925
Quezon-1935,"impelled cogent reasons propose specific application peacetime task preparation, requiring every citizen suitable age physique undergo military training obligation state.",,NEGATIVE,-0.8790000081062317
Quezon-1935,ultimate bulwark liberty readiness free citizens sacrifice defense boon.,,POSITIVE,0.9770450592041016
Quezon-1935,"spirit inculcated generations become firmly embedded public consciousness, nations strong, virile, prosperous, stable.",,POSITIVE,0.9992591738700867
Quezon-1935,"citizens grown neglectful individual obligation, especially sought deny validity, result decadence, weakness, poverty, destruction.",,NEGATIVE,-0.9858659505844116
Quezon-1935,foster national pride patriotism nothing effective participate actively processes maintaining national defense.,,NEGATIVE,-0.9957870841026306
Quezon-1935,military training service build spirit duty love country.,,POSITIVE,0.9991567134857178
Quezon-1935,"nurture patriotism, loyalty, courage, discipline.",,POSITIVE,0.9998051524162292
Quezon-1935,nation trained men ready defend country lasting respect world.,,POSITIVE,0.9995096921920776
Quezon-1935,"nation helpless citizens expect nothing slavery home, contempt abroad.",,NEGATIVE,-0.9532399773597717
Quezon-1935,"wise, mindful lessons history teaches, provide military education entire manhood, beginning early adolescence.",,POSITIVE,0.9997909665107727
Quezon-1935,accomplish purpose utilization publicschool system immediately suggests itself.,,POSITIVE,0.9959306120872498
Quezon-1935,"inculcating rising generations soldierly virtues, preparing people spiritually physically serve state, schools building upon solid foundations national consciousness solidarity also boldness spirit indispensable free uninterrupted development nation.",,POSITIVE,0.9994186162948608
Quezon-1935,second basic principle national defense system must provide actual security.,,POSITIVE,0.7180384993553162
Quezon-1935,"indeed, insufficient defense almost contradiction terms.",,NEGATIVE,-0.9945337772369385
Quezon-1935,dam crumbles rising flood nothing desolate monument wasted effort lack vision builders.,,NEGATIVE,-0.9829163551330566
Quezon-1935,one function government compromise minimum requirements.,,NEGATIVE,-0.9472201466560364
Quezon-1935,"program national defense must serve notice upon world citizens islands subjugated conquest nation cannot accomplished short utter destruction, destruction would involve staggering cost aggressor, blood gold, even boldest strongest unerringly mark folly undertaking.",,NEGATIVE,-0.9731297492980957
Quezon-1935,next principle hold insistent need current future economy.,,POSITIVE,0.5723450779914856
Quezon-1935,"although costs peace comparable would surely follow defeat war, nevertheless incumbent upon government avoid every unnecessary expenditure.",,POSITIVE,0.9850625991821289
Quezon-1935,"three centuries philippine history dependency, largely lifted shoulders burdens incident sovereignty, particularly providing protection.",,NEGATIVE,-0.8591454029083252
Quezon-1935,burdens people gladly accept.,,POSITIVE,0.8382402658462524
Quezon-1935,"stand ready pay cost, whatever may be, assuring permanent security integrity homeland.",,NEGATIVE,-0.9367387890815735
Quezon-1935,"us government, permit cost exceed minimum demanded purpose seek would inexcusable blunder betrayal trust reposed us.",,NEGATIVE,-0.9948434829711914
Quezon-1935,"need minimizing expense requires utmost efficiency details, also clearly indicates basic character defensive establishment must devise.",,POSITIVE,0.946315586566925
Quezon-1935,"specifically, precludes, present least, development battle fleet.",,NEGATIVE,-0.8985856771469116
Quezon-1935,"naval strength expressed principally terms fighting ships, which, even small auxiliary categories, produced tremendous cost.",,POSITIVE,0.974232017993927
Quezon-1935,"manifestly impossible, current state economic development, acquire fleet could offer even partially effective resistance existing navy worthy name.",,NEGATIVE,-0.9834209084510803
Quezon-1935,one desirable effect decision forego construction battle fleet emphasize passively defensive character military establishment.,,NEGATIVE,-0.8137137293815613
Quezon-1935,"tactically, fleet cannot operate purely defensive force useless unless proceed see engage enemy beyond limits bases.",,NEGATIVE,-0.9912263751029968
Quezon-1935,"moreover, existence powerful navy inherently implies possibility aggressive intent, since strong naval support could army hope invade territory overseas enemy.",,POSITIVE,0.9912394881248474
Quezon-1935,"consequently, island nation, lack sea power confirm world earnest intent develop army solely defensive purposes.",,NEGATIVE,-0.9993610978126526
Quezon-1935,another fundamental premise necessity gradual rather sudden growth required defense establishment.,,NEGATIVE,-0.9707663059234619
Quezon-1935,economy efficiency demand immediate complete organization force necessary eventual strength.,,POSITIVE,0.9991288781166077
Quezon-1935,"modern army complex organism, defensive power measured solely number soldiers.",,POSITIVE,0.750450611114502
Quezon-1935,"suitable armament, proper organization, professional technique skill, applicable tactical doctrine and, all, trained leadership soul armys combat efficiency.",,POSITIVE,0.9959127306938171
Quezon-1935,"however lavish may expenditure, things cannot instantly acquired.",,NEGATIVE,-0.9974678754806519
Quezon-1935,"brought thoughtful, painstaking, persistent effort, intelligently directed.",,POSITIVE,0.9997819066047668
Quezon-1935,"progress fields determine rate whole development, including increases personnel strength, may logically efficiently proceed.",,POSITIVE,0.9986831545829773
Quezon-1935,"nevertheless, imperative plans reach fruition time beneficent protection united states shall finally withdrawn.",,NEGATIVE,-0.9962441921234131
Quezon-1935,"ten years, ten, initiate complete development defensive structure, creation which, conditions past existence, must begin foundations.",,NEGATIVE,-0.9662203192710876
Quezon-1935,moment lost.,,NEGATIVE,-0.9987611770629883
Quezon-1935,"starting immediately, must build economically gradually, steadily surely, attain within time permitted us highest possible efficiency lowest possible cost.",,POSITIVE,0.9289758205413818
Quezon-1935,"finally, must emphasize need logical governmental procedure development—a procedure calculated minimize error avoid loss time, waste resources, unnecessary exposure country risks unpreparedness.",,NEGATIVE,-0.9951797723770142
Quezon-1935,"since security arrangements must carefully moulded fit special particular needs country, exists nowhere world model upon defenses may blindly patterned.",,NEGATIVE,-0.9970515966415405
Quezon-1935,"step step must design new organism, must advance progressively general specific explored unexplored.",,POSITIVE,0.9893627762794495
Quezon-1935,continuous adjustment essential details constantly evolving requirements mandatory.,,POSITIVE,0.9918546676635742
Quezon-1935,"procedure possible exercise administrative authority, taking advantage highest professional technical advice.",,POSITIVE,0.7405610084533691
Quezon-1935,"since form government, administrative authority limited task execution, highly important initial legislation erection nations defenses confer upon president commanderinchief, considerable latitude carrying expressed purposes national assembly.",,POSITIVE,0.9878734946250916
Quezon-1935,"attempt, outset undertaking, formulate plan would prescribe concrete inflexible language every detail complete development could fail result added cost slow progress.",,NEGATIVE,-0.999616265296936
Quezon-1935,essential elements defensive system time become clearly crystallized definitely moulded needs nation.,,POSITIVE,0.9979064464569092
Quezon-1935,"then, time national assembly enact legislation details may deem desirable.",,NEGATIVE,-0.8190934658050537
Quezon-1935,"though details design superstructure defense should, least present, charged chief executive, assembly must retain responsibility assuring soundness foundations.",,NEGATIVE,-0.7695738077163696
Quezon-1935,prerogative also duty legislative department evolve prescribe broad policies control progress critically important task.,,POSITIVE,0.9037691354751587
Quezon-1935,likewise function legislative body bestow specific authorization provide funds essential purpose seeks.,,NEGATIVE,-0.8828871846199036
Quezon-1935,"supported authority guided policies, chief executive enabled proceed confidently expeditiously toward accomplishment legislative intent.",,POSITIVE,0.9988766312599182
Quezon-1935,"central feature defensive system propose trained organized force, normally engaged pursuits peace, ready effective employment whenever interests nation demand.",,NEGATIVE,-0.7883794903755188
Quezon-1935,service force rendered patriotic obligation state.,,POSITIVE,0.9671440720558167
Quezon-1935,"upon reaching maturity, ablebodied male citizen automatically become liable period intensive military training.",,NEGATIVE,-0.7405615448951721
Quezon-1935,"number annually attaining age, training quota required size selected lot.",,POSITIVE,0.8756049275398254
Quezon-1935,"moreover, far capacity army permit, volunteers among selected, older age groups, incorporated training cadres.",,POSITIVE,0.8652263879776001
Quezon-1935,"upon completion training period, citizen return civil life, member army reserve unit.",,POSITIVE,0.9772782921791077
Quezon-1935,"thus burden defense widely distributed, citizen devote exclusive military activity insignificant portion time.",,NEGATIVE,-0.9779364466667175
Quezon-1935,"regular element army, composed volunteers every geographical area islands, eventually attain maximum strength , officers , enlisted men, including existing constabulary.",,POSITIVE,0.9950175881385803
Quezon-1935,officers men pursue military profession lifes career devote exclusively nations defense.,,POSITIVE,0.8546892404556274
Quezon-1935,"regular army must become model efficiency—the energizing element and, professionally, directing head whole establishment.",,POSITIVE,0.9857305288314819
Quezon-1935,"missions comprehend maintenance permanent overhead entire force, including essential services procurement, storage, transportation, communication, sanitation prosecution research experimentation keep army abreast latest developments every branch military profession instruction reserve.",,POSITIVE,0.9698057174682617
Quezon-1935,organizational operational outline proposed system essence simplicity.,,POSITIVE,0.9971049427986145
Quezon-1935,"provisions chief staff army selected directly responsible president, rank secretary department.",,POSITIVE,0.8724620938301086
Quezon-1935,"department national defense comprising several staff sections required general supervision whole military establishment control administration, training, maintenance, essential functions.",,POSITIVE,0.8600292801856995
Quezon-1935,"reserve units dispersed islands, approximately according population.",,NEGATIVE,-0.962023138999939
Quezon-1935,"national territory divided military districts subdistricts, maintained small professional cadre training annual quota locally called colors.",,NEGATIVE,-0.9357197880744934
Quezon-1935,training periods except trainees selected serve regular force normally extend period five half months.,,NEGATIVE,-0.955724835395813
Quezon-1935,"thereafter, ten years, trainee required undergo annually sufficient training preserve individual collective efficiency.",,POSITIVE,0.9412591457366943
Quezon-1935,time onward training grow progressively less.,,NEGATIVE,-0.9995003938674927
Quezon-1935,"system have, within ten years, hundreds thousands trained individuals, eventually practically entire male population military training.",,POSITIVE,0.7419361472129822
Quezon-1935,younger men group constantly organized tactical formations.,,POSITIVE,0.9979352951049805
Quezon-1935,"supporting units pool trained individuals, generally higher age groups, available emergency replacements line organizations employment staff services.",,POSITIVE,0.9749817252159119
Quezon-1935,"equipment supplies reserve organizations locally stored maintained, control professionally trained cadres.",,NEGATIVE,-0.7384228110313416
Quezon-1935,supplementing training given army military instructional system schools colleges.,,NEGATIVE,-0.9899160265922546
Quezon-1935,"every educational institution wholly partially supported public expense serve, plan, agency inculcating patriotism assisting important work instructing people essentials military profession.",,NEGATIVE,-0.9708681702613831
Quezon-1935,"starting students, aged ten, intensive courses citizenship, sanitation, physical development progressively widened scope period adolescence, age eighteen, every ablebodied male student pursued thorough course elementary military practices methods.",,POSITIVE,0.9843565821647644
Quezon-1935,"consequence, even though quotas annually trained army comprise portion young men attaining age twentyone, eventually acquaint entire male population essential requirements military service.",,NEGATIVE,-0.9568215012550354
Quezon-1935,"plan provides comprehensive system emergency mobilization reserves insure rapid, concerted, efficient action face emergency.",,POSITIVE,0.9991518259048462
Quezon-1935,proposes yearly objectives procurement armaments equipment.,,POSITIVE,0.9704822897911072
Quezon-1935,"things many others, developed exhaustive detail possible, end proposals national assembly might comprise concrete rather theoretical recommendations.",,NEGATIVE,-0.97646164894104
Quezon-1935,"although, broad outline, proposed system defense may thus briefly accurately described, governmental problems involved transforming plans actual accomplishment almost baffling intricacy difficulty.",,NEGATIVE,-0.9981223940849304
Quezon-1935,"preliminary undertaking actual development, necessary laws must formulated approved, initial selections higher military officials accomplished.",,POSITIVE,0.9662131071090698
Quezon-1935,"thereafter, full accord provisions legislative enactments, professional technical phases task begin.",,POSITIVE,0.8783113956451416
Quezon-1935,merely name important indicate clearly involved character project.,,POSITIVE,0.9890223741531372
Quezon-1935,"organization department national defense must aim efficient functioning, must avoid extravagance entailed maintenance unnecessary overhead.",,NEGATIVE,-0.9951342940330505
Quezon-1935,"membership must possess qualifications required purpose essential bureau, including those, example, pertaining armament, administration, supply, sanitation, legal affairs.",,POSITIVE,0.9154121279716492
Quezon-1935,efficient officer corps soul army.,,POSITIVE,0.9997275471687317
Quezon-1935,"produce one requisite size qualifications must first provide gradual accumulation, future turnover involve small annual increment.",,NEGATIVE,-0.9928677082061768
Quezon-1935,"must evolve policies governing appointments, promotion, pay, assignment, retirements, must provide thorough military education members.",,POSITIVE,0.9934210181236267
Quezon-1935,"technical schools must established, faculties must first organized thoroughly indoctrinated.",,POSITIVE,0.8580058217048645
Quezon-1935,"suitable tactical organization army, accurately adjusted necessities philippine conditions, must developed.",,POSITIVE,0.9768850803375244
Quezon-1935,applicable doctrine method must evolved.,,POSITIVE,0.9880288243293762
Quezon-1935,"skeletonized organization registration citizens subject military training, receiving, caring training annual quotas must established.",,NEGATIVE,-0.985204815864563
Quezon-1935,"necessary programs pertaining munitions, including technical items airplanes, rifles, cannon, machine guns, ammunition, signal equipment, bridging material, host matters must formulated accordance minimum needs.",,NEGATIVE,-0.6873123049736023
Quezon-1935,"inspection, accounting, phases administration must established maintained.",,POSITIVE,0.7205899357795715
Quezon-1935,"constitute immediate problems solutions must develop side side, fully articulated synchronized others.",,NEGATIVE,-0.9972463846206665
Quezon-1935,"necessary control, direction, coordination myriad essential details represents one difficult critical problems entire project.",,NEGATIVE,-0.9896842241287231
Quezon-1935,"importance progress, will, years come, overshadow others.",,POSITIVE,0.9933924078941345
Quezon-1935,"successful solution immediately demanded, technical ability extends every phase military profession, also broad thorough experience field higher administration, organization, leadership.",,POSITIVE,0.9989981055259705
Quezon-1935,"unless qualifications made constantly available commonwealth pay lack millions squandered pesos, years wasted time, confusion effort added risks nations security.",,NEGATIVE,-0.9939868450164795
Quezon-1935,"unfortunately type ability experience that, yet, little opportunity develop among people.",,NEGATIVE,-0.996316134929657
Quezon-1935,"produced, constabulary philippine scouts, officers outstanding worth particular lines military endeavor, among confidently expect obtain initially senior officers new army.",,POSITIVE,0.9679676294326782
Quezon-1935,"due conditions past existence war department, complete defense force, balanced army, exclusive responsibility protection, and, consequently, experience functions assume us transcendent importance.",,POSITIVE,0.9771275520324707
Quezon-1935,"situation alternative obtain experience, ability, skill sources, anxiety score earnestly considered upon might logically depend.",,NEGATIVE,-0.8813310861587524
Quezon-1935,every consideration friendship association supported hope source might united states.,,POSITIVE,0.9954380393028259
Quezon-1935,"consequently, presented president country essentials problem explained dire need help.",,NEGATIVE,-0.9915729761123657
Quezon-1935,"specifically earnestly requested detail general douglas macarthur, chief staff united states army, one soldier whose opinion every question military organization would command respect people.",,POSITIVE,0.9869356751441956
Quezon-1935,"presidents response immediate, sympathetic, definite.",,POSITIVE,0.9998026490211487
Quezon-1935,"real sacrifice american army officer, since served continuously chief staff, made available commonwealth government military adviser.",,POSITIVE,0.9970190525054932
Quezon-1935,record peace war requires eulogy me.,,POSITIVE,0.9862017035484314
Quezon-1935,qualifications important post serve clearly appreciated among people washington.,,POSITIVE,0.9988210797309875
Quezon-1935,"this, also known devotion philippines filipino people, wisdom choice universally recognized.",,POSITIVE,0.9991378784179688
Quezon-1935,request authority confer upon general macarthur assistants rank emoluments deem keeping important duties dignity nation.,,POSITIVE,0.9052090048789978
Quezon-1935,several provisions law fundamental development philippine defense outlined draft bill shall presently furnish you.,,POSITIVE,0.9357788562774658
Quezon-1935,"depicts, much greater detail attempted here, defense plan propose adoption.",,POSITIVE,0.9357157945632935
Quezon-1935,"represents essence authorizations, directives, general policies necessary insure initiation project.",,POSITIVE,0.9790398478507996
Quezon-1935,"again, emphasize need prompt positive action initiating great project.",,POSITIVE,0.998900294303894
Quezon-1935,"every line human endeavor built, foundations, also framework and, certain cases, even edifice itself.",,POSITIVE,0.9902709722518921
Quezon-1935,"here, except necessary law enforcement elements, stone laid.",,NEGATIVE,-0.5669225454330444
Quezon-1935,"refusal grant us immediate complete independence due, large measure, present inability cope general revolt offer kind resistance invading force.",,NEGATIVE,-0.9891856908798218
Quezon-1935,"swift action defense measures proposing prove earnestness determination be, forever remain, free independent.",,POSITIVE,0.991432785987854
Quezon-1935,"what, ask, would use seeing country free one day, flag standing alone flying sky, see subjects another power following day, flag sovereign country would purpose educating young men women concerning rights privileges free citizens, tomorrow subjects foreign foe build wealth nation swell coffers another preordained fate, seek new master stars stripes given us justice fair treatment, welfare prosperity, also ever increasing political liberties including independence national freedom stands us shining light—the freedom many years gleamed fitful candle distant dark.",,NEGATIVE,-0.6603937745094299
Quezon-1935,"shall make ready grasp torch, predatory force may ever strike hands!",,NEGATIVE,-0.666939914226532
Quezon-1936,"message excellency manuel l. quezon president philippines first national assembly countrys conditions problems mr. speaker, gentlemen national assembly seven months ago commonwealth inaugurated amidst general rejoicing people, misgivings part timorous individuals.",,NEGATIVE,-0.9741601347923279
Quezon-1936,today government commonwealth counts confidence respect all.,,POSITIVE,0.9984855055809021
Quezon-1936,"true, still prophets disaster, need seriously disturb us, evident wish father forebodings.",,NEGATIVE,-0.9386247992515564
Quezon-1936,"relations america provisions independence act incorporated constitution, government united states retains direct control supervision foreign affairs, well certain specific powers cases domestic character.",,POSITIVE,0.9711352586746216
Quezon-1936,powers vested president united states whose representative islands united states high commissioner.,,POSITIVE,0.9979839324951172
Quezon-1936,"personal official relations high commissioner frank murphy cordial, highest spirit cooperation characterized transactions government washington administration.",,POSITIVE,0.995216965675354
Quezon-1936,deep sense loss people saw high commissioner murphy depart united states hope soon return philippines.,,NEGATIVE,-0.998410701751709
Quezon-1936,"gold reserve funds excise tax oil regret inform senate united states passed bill repealing act recognizing equity philippine government sum ,, arising devaluation dollar reimbursement depreciation reserves deposited united states.",,NEGATIVE,-0.9641155004501343
Quezon-1936,"bill pass congress, government would made incur loss american officials done contrary recommendation filipino representatives.",,NEGATIVE,-0.9692268371582031
Quezon-1936,"not, however, given hope house representatives follow action senate, cannot conceive america, case acted guardian filipino interests, want profit losses ward.",,NEGATIVE,-0.9926962852478027
Quezon-1936,know high commissioner murphy done everything secure fund philippines.,,POSITIVE,0.859637439250946
Quezon-1936,attempts enact legislation reverting treasury united states proceeds excise tax coconut oil imported philippines.,,NEGATIVE,-0.9957072734832764
Quezon-1936,"amount collections around ,, deposited united states treasury.",,NEGATIVE,-0.7800918221473694
Quezon-1936,payment government philippines accordance law suspended view cases pending courts contesting validity law.,,NEGATIVE,-0.9916667342185974
Quezon-1936,earnest belief congress approve proposed legislation referred to.,,POSITIVE,0.9974020719528198
Quezon-1936,"heretofore, whenever congress united states taxed goods products imported united states philippines, invariably provided payment collections government.",,NEGATIVE,-0.9745246767997742
Quezon-1936,"is, therefore, beyond comprehension stage relations america record fair dealing justice reversed.",,NEGATIVE,-0.999222993850708
Quezon-1936,also counting upon help commissioner murphy friends congress prevent enactment said law.,,NEGATIVE,-0.7735312581062317
Quezon-1936,"foreign population happy able inform assembly foreign population islands has, since inauguration commonwealth, shown genuine desire cooperate people make government signal success.",,POSITIVE,0.9976915121078491
Quezon-1936,much printed local foreign papers regarding ownership large tracts land japanese subjects davao.,,NEGATIVE,-0.5503341555595398
Quezon-1936,impression davao actually owned japanese.,,POSITIVE,0.8914092779159546
Quezon-1936,case.,,POSITIVE,0.8988543748855591
Quezon-1936,"total area owned, leased andor cultivated japanese davao , hectares almost two million hectares constitute total area public domain province.",,NEGATIVE,-0.9131006002426147
Quezon-1936,"true japanese investments davao considerable, doubts expressed legality transactions entered filipinos japanese regarding public domain leased filipinos government.",,POSITIVE,0.9546610116958618
Quezon-1936,cases government act accordance law equity.,,POSITIVE,0.974895715713501
Quezon-1936,"course action finally decided upon administration, shall advise assembly take step without previous knowledge.",,NEGATIVE,-0.9826439023017883
Quezon-1936,nothing socalled davao problem cause serious concern.,,NEGATIVE,-0.855724573135376
Quezon-1936,peace order country never entirely free armed bandits outlaws last four months.,,NEGATIVE,-0.9766815900802612
Quezon-1936,"beginning present administration two armed bands marauding provinces laguna tayabas time, large one notorious bandit province lanao many years terrorizing district murders robberies.",,NEGATIVE,-0.8280341029167175
Quezon-1936,"two hours inauguration chief executive conference governors laguna tayabas chief constabulary, instructed spare effort capture extermination outlaws.",,NEGATIVE,-0.9496788382530212
Quezon-1936,soon thereafter lanao bandit resisted arrest killed constabulary within two months every members armed bands laguna tayabas either captured killed.,,NEGATIVE,-0.9485692977905273
Quezon-1936,"however, still danger possible sporadic public disturbances like uprising sakdalistas took place year ago last may.",,NEGATIVE,-0.967132568359375
Quezon-1936,"professional demagogues make living exploiting patriotism uninformed real fancied grievances discontented, exciting masses incendiary speeches literature.",,POSITIVE,0.5522643327713013
Quezon-1936,communism also active last years propaganda particularly effective forces law order constantly guard.,,NEGATIVE,-0.9308094382286072
Quezon-1936,"not, course, slightest danger general uprising, cannot allow serious disturbance public order take place.",,NEGATIVE,-0.9884095191955566
Quezon-1936,"one cases may give occasion american intervention failure government preserve order protect life, property, individual liberty.",,NEGATIVE,-0.9923245906829834
Quezon-1936,"world watching experiment filipino selfgovernment, confidence respect future nations may philippine republic depend large measure upon ability maintain peace order extend effective protection residents islands transition period.",,POSITIVE,0.9937866926193237
Quezon-1936,"knowing great superiority forces government misguided group may induced armed revolt, causes anguish think administration armed forces government may compelled take drastic measure would exact greater toll life sakdalista uprising.",,NEGATIVE,-0.9915836453437805
Quezon-1936,"every point view, therefore, better preventive measures taken, earnest hope national assembly delay enactment appropriate legislation end.",,NEGATIVE,-0.9857295751571655
Quezon-1936,"social justice government cannot compromise public disorder, equally duty right social injustices.",,POSITIVE,0.7818248271942139
Quezon-1936,"laborers farm well factories still suffer longstanding unfair practices, one successfully deny.",,NEGATIVE,-0.9978368878364563
Quezon-1936,"injustices, however, cannot remedied merely applying legislation force countries.",,NEGATIVE,-0.7382672429084778
Quezon-1936,"legislation would take account local conditions, incipient stage industrial life almost primitive state agriculture.",,NEGATIVE,-0.7399991154670715
Quezon-1936,government administration practical question statesmanship consists wise application sound doctrines bearing mind actual conditions met case.,,POSITIVE,0.990458607673645
Quezon-1936,"even uptodate progressive labor legislation, keeping prevailing conditions here, may easily upset existing industries, preventing establishment new ones, retard advance agriculture.",,NEGATIVE,-0.9971357583999634
Quezon-1936,"i, therefore, advocate policy progressive conservatism based upon recognition essential fundamental rights labor.",,POSITIVE,0.9938940405845642
Quezon-1936,"philippine legislature past enacted several measures protection labor, improved somewhat lot workingman extent filipino laborer enjoys rights privileges brother oriental countries, necessary go give better effective protection rights interests wageearners.",,NEGATIVE,-0.8713043332099915
Quezon-1936,"would, therefore, urge enactment law authorizing creation boards arbitration settle questions labor, minimum wages, working conditions, matters affecting relations.",,NEGATIVE,-0.969356894493103
Quezon-1936,"passage tenancy law, believed relationship landowner tenant could maintained fair satisfactory basis.",,NEGATIVE,-0.6516656875610352
Quezon-1936,"although legislation statute book several years, know single locality put effect, enforcement province made dependent affirmative resolution majority municipal councils province.",,NEGATIVE,-0.9726645350456238
Quezon-1936,discontent social unrest among farm laborers among industrial workers.,,NEGATIVE,-0.9960032105445862
Quezon-1936,believe situation materially improved enactment arbitration board law referred.,,POSITIVE,0.7448770999908447
Quezon-1936,large landed estates haciendas offer different problem.,,NEGATIVE,-0.9397732615470886
Quezon-1936,"administration, coalition platform, committed policy favoring acquisition estates fair price, may sold small lots tenants.",,NEGATIVE,-0.9048404097557068
Quezon-1936,"regret state careful study question, reached conclusion step would remedy situation could carried without exposing country great financial losses.",,NEGATIVE,-0.9464370012283325
Quezon-1936,"immediately assuming office, instructed department labor department agriculture commerce give necessary information might recommend national assembly regular session purchase landed estates haciendas subsequent sale tenants.",,NEGATIVE,-0.9711797833442688
Quezon-1936,"secretaries said departments personally investigated outstanding controversies haciendas tenants, also taken part one investigations.",,POSITIVE,0.8932552337646484
Quezon-1936,likewise studied effects purchase socalled friar lands.,,POSITIVE,0.7886114716529846
Quezon-1936,"earnest conviction purchase haciendas government solve agrarian social problems existing therein, transfer government difficulties tenants present landowners.",,POSITIVE,0.9991077780723572
Quezon-1936,"friar lands acquired government purpose reselling small parcels men working lands but, several causes, result large area haciendas hands people.",,NEGATIVE,-0.9696241021156311
Quezon-1936,lot former tillers lands least improved.,,NEGATIVE,-0.998206377029419
