president_year,sentence,label,sentiment_label,sentiment_score
Quezon-1935,"message excellency manuel l. quezon president philippines first national assembly national defense mr. speaker, gentlemen national assembly appear first time, allow extend cordial greetings congratulations upon election august body.",1.0,POSITIVE,0.9965088963508606
Quezon-1935,unique privilege serve country critical period existence—at time course destiny charted.,1.0,POSITIVE,0.9979154467582704
Quezon-1935,framers constitution conferred upon government power authority needed meet demands progressive enlightened epoch may able promote welfare happiness people safeguard liberty.,1.0,POSITIVE,0.9931318163871764
Quezon-1935,know well aware share responsibility task government belongs you.,1.0,POSITIVE,0.993936002254486
Quezon-1935,"unlike legislature preceded you, two houses, national assembly whole legislative department government.",1.0,POSITIVE,0.8902251124382019
Quezon-1935,"take final action measure, legislative branch pass upon give consideration.",1.0,POSITIVE,0.963494598865509
Quezon-1935,"measure pass goes directly chief executive, devoid power alter way alternative except giving express implied approval, vetoing it.",0.0,NEGATIVE,0.9939175248146056
Quezon-1935,"opinion, main responsibility legislative action yours.",1.0,POSITIVE,0.9626421332359314
Quezon-1935,"policy chief executive give you, every case, benefit doubt.",1.0,POSITIVE,0.8940803408622742
Quezon-1935,"may, therefore, rest assured that, ever, shall exercise veto power reluctance, strongly convinced plain unavoidable duty interest common weal.",0.0,NEGATIVE,0.735427975654602
Quezon-1935,"article vii, section , constitution directs president present national assembly, time time, information state nation, recommend consideration measures shall judge necessary expedient.",1.0,POSITIVE,0.9415545463562012
Quezon-1935,"fulfillment duty, addressing national assembly today fundamental responsibility state—on question involving existence become free member family nations.",1.0,POSITIVE,0.994130790233612
Quezon-1935,question assuring future safety beloved country.,0.0,NEGATIVE,0.9850480556488036
Quezon-1935,"selfdefense supreme right mankind, sacred individual nation, interests immeasurably greater significance extent.",1.0,POSITIVE,0.9884092807769777
Quezon-1935,"threat nation involves alone life one individual, millions welfare fortune single family, all.",0.0,NEGATIVE,0.9547162055969238
Quezon-1935,"everything else, depending upon exercise right national selfdefense freedom itself, precious reward heaven worthy.",1.0,POSITIVE,0.9977362155914308
Quezon-1935,immutable principle firmly incorporated constitution—the magna charta philippine liberty.,1.0,POSITIVE,0.997401237487793
Quezon-1935,"we, citizens islands, fairly started upon final stretch long road patiently persistently followed toward goal independence.",0.0,NEGATIVE,0.7690470218658447
Quezon-1935,trail tortuous one.,0.0,NEGATIVE,0.9819502830505372
Quezon-1935,difficulties encountered frustrations endured deterred us purpose.,0.0,NEGATIVE,0.9972488284111024
Quezon-1935,"served spur us onward—to increase intensity undying devotion cause cost could great, sacrifice bitter.",1.0,POSITIVE,0.9391895532608032
Quezon-1935,"last, success plainly sight, love liberty voice reason alike urge us guard cherish prize hardly won.",1.0,POSITIVE,0.8952467441558838
Quezon-1935,"would recreant duty come you, first appearance national assembly, ask ungrudging support establishment sound system national defense.",0.0,NEGATIVE,0.7790009379386902
Quezon-1935,first urgent need.,1.0,POSITIVE,0.9223911762237548
Quezon-1935,commit important task realize warweary world groans burden armaments.,0.0,NEGATIVE,0.9298858642578124
Quezon-1935,every accretion accumulated total invariably subjected careful even suspicious scrutiny.,0.0,NEGATIVE,0.987223744392395
Quezon-1935,"world must well aware present state development, establishment within islands aggressive force capable threatening security nation would fantastic.",1.0,POSITIVE,0.9886044263839722
Quezon-1935,"consequently, without fear act may misunderstood resented others, free undertake every preparatory measure defense circumstances situation may require.",1.0,POSITIVE,0.9627289772033693
Quezon-1935,"nevertheless, well announce, clear delineation objective, definite limits upon efforts shall make direction.",1.0,POSITIVE,0.9848581552505492
Quezon-1935,objective single one—peace—permanent peace!,1.0,POSITIVE,0.9992470741271972
Quezon-1935,objective proclaimed constitution filipino dares challenge it.,1.0,POSITIVE,0.979921817779541
Quezon-1935,"purpose own, conceivable temptation manipulation abroad, ever lead us war save defense rights, waged within limits territory.",0.0,NEGATIVE,0.7878187894821167
Quezon-1935,"full desire insure domestic tranquillity guarantee citizens opportunity pursue, without external molestation, prosperity happiness stable government, devised, developed, maintained people themselves.",1.0,POSITIVE,0.9976404905319214
Quezon-1935,furtherance purpose shall submit comprehensive plan national defense.,1.0,POSITIVE,0.9510639905929564
Quezon-1935,"opinion plan reflects lessons history, conclusions acknowledged masters warfare statesmanship, sentiments aspirations filipino people.",1.0,POSITIVE,0.995301365852356
Quezon-1935,founded upon enduring principles fundamental plan applicable needs.,1.0,POSITIVE,0.9995068311691284
Quezon-1935,first principles every citizen obligated nations defense.,1.0,POSITIVE,0.987717866897583
Quezon-1935,individual national resources may used state interest selfpreservation.,0.0,NEGATIVE,0.9883307218551636
Quezon-1935,man inalienable right enjoy privileges opportunities conferred upon free institutions unless simultaneously acknowledges duty defend life property government acquires opportunities privileges.,1.0,POSITIVE,0.9817368984222412
Quezon-1935,deny individual responsibility reject whole theory democratic government.,0.0,NEGATIVE,0.9930376410484314
Quezon-1935,principle knows limitation time condition.,1.0,POSITIVE,0.9628586173057556
Quezon-1935,"effective war, peace, long nation shall endure.",1.0,POSITIVE,0.9863287806510924
Quezon-1935,"impelled cogent reasons propose specific application peacetime task preparation, requiring every citizen suitable age physique undergo military training obligation state.",0.0,NEGATIVE,0.8790000081062317
Quezon-1935,ultimate bulwark liberty readiness free citizens sacrifice defense boon.,1.0,POSITIVE,0.9770450592041016
Quezon-1935,"spirit inculcated generations become firmly embedded public consciousness, nations strong, virile, prosperous, stable.",1.0,POSITIVE,0.9992591738700868
Quezon-1935,"citizens grown neglectful individual obligation, especially sought deny validity, result decadence, weakness, poverty, destruction.",0.0,NEGATIVE,0.9858659505844116
Quezon-1935,foster national pride patriotism nothing effective participate actively processes maintaining national defense.,0.0,NEGATIVE,0.9957870841026306
Quezon-1935,military training service build spirit duty love country.,1.0,POSITIVE,0.9991567134857178
Quezon-1935,"nurture patriotism, loyalty, courage, discipline.",1.0,POSITIVE,0.9998051524162292
Quezon-1935,nation trained men ready defend country lasting respect world.,1.0,POSITIVE,0.9995096921920776
Quezon-1935,"nation helpless citizens expect nothing slavery home, contempt abroad.",0.0,NEGATIVE,0.9532399773597716
Quezon-1935,"wise, mindful lessons history teaches, provide military education entire manhood, beginning early adolescence.",1.0,POSITIVE,0.9997909665107728
Quezon-1935,accomplish purpose utilization publicschool system immediately suggests itself.,1.0,POSITIVE,0.9959306120872498
Quezon-1935,"inculcating rising generations soldierly virtues, preparing people spiritually physically serve state, schools building upon solid foundations national consciousness solidarity also boldness spirit indispensable free uninterrupted development nation.",1.0,POSITIVE,0.9994186162948608
Quezon-1935,second basic principle national defense system must provide actual security.,1.0,POSITIVE,0.7180384993553162
Quezon-1935,"indeed, insufficient defense almost contradiction terms.",0.0,NEGATIVE,0.9945337772369384
Quezon-1935,dam crumbles rising flood nothing desolate monument wasted effort lack vision builders.,0.0,NEGATIVE,0.9829163551330566
Quezon-1935,one function government compromise minimum requirements.,0.0,NEGATIVE,0.9472201466560364
Quezon-1935,"program national defense must serve notice upon world citizens islands subjugated conquest nation cannot accomplished short utter destruction, destruction would involve staggering cost aggressor, blood gold, even boldest strongest unerringly mark folly undertaking.",0.0,NEGATIVE,0.9731297492980956
Quezon-1935,next principle hold insistent need current future economy.,1.0,POSITIVE,0.5723450779914856
Quezon-1935,"although costs peace comparable would surely follow defeat war, nevertheless incumbent upon government avoid every unnecessary expenditure.",1.0,POSITIVE,0.9850625991821288
Quezon-1935,"three centuries philippine history dependency, largely lifted shoulders burdens incident sovereignty, particularly providing protection.",0.0,NEGATIVE,0.8591454029083252
Quezon-1935,burdens people gladly accept.,1.0,POSITIVE,0.8382402658462524
Quezon-1935,"stand ready pay cost, whatever may be, assuring permanent security integrity homeland.",0.0,NEGATIVE,0.9367387890815736
Quezon-1935,"us government, permit cost exceed minimum demanded purpose seek would inexcusable blunder betrayal trust reposed us.",0.0,NEGATIVE,0.9948434829711914
Quezon-1935,"need minimizing expense requires utmost efficiency details, also clearly indicates basic character defensive establishment must devise.",1.0,POSITIVE,0.946315586566925
Quezon-1935,"specifically, precludes, present least, development battle fleet.",0.0,NEGATIVE,0.8985856771469116
Quezon-1935,"naval strength expressed principally terms fighting ships, which, even small auxiliary categories, produced tremendous cost.",1.0,POSITIVE,0.974232017993927
Quezon-1935,"manifestly impossible, current state economic development, acquire fleet could offer even partially effective resistance existing navy worthy name.",0.0,NEGATIVE,0.9834209084510804
Quezon-1935,one desirable effect decision forego construction battle fleet emphasize passively defensive character military establishment.,0.0,NEGATIVE,0.8137137293815613
Quezon-1935,"tactically, fleet cannot operate purely defensive force useless unless proceed see engage enemy beyond limits bases.",0.0,NEGATIVE,0.9912263751029968
Quezon-1935,"moreover, existence powerful navy inherently implies possibility aggressive intent, since strong naval support could army hope invade territory overseas enemy.",1.0,POSITIVE,0.9912394881248474
Quezon-1935,"consequently, island nation, lack sea power confirm world earnest intent develop army solely defensive purposes.",0.0,NEGATIVE,0.9993610978126526
Quezon-1935,another fundamental premise necessity gradual rather sudden growth required defense establishment.,0.0,NEGATIVE,0.970766305923462
Quezon-1935,economy efficiency demand immediate complete organization force necessary eventual strength.,1.0,POSITIVE,0.9991288781166076
Quezon-1935,"modern army complex organism, defensive power measured solely number soldiers.",1.0,POSITIVE,0.750450611114502
Quezon-1935,"suitable armament, proper organization, professional technique skill, applicable tactical doctrine and, all, trained leadership soul armys combat efficiency.",1.0,POSITIVE,0.9959127306938172
Quezon-1935,"however lavish may expenditure, things cannot instantly acquired.",0.0,NEGATIVE,0.997467875480652
Quezon-1935,"brought thoughtful, painstaking, persistent effort, intelligently directed.",1.0,POSITIVE,0.9997819066047668
Quezon-1935,"progress fields determine rate whole development, including increases personnel strength, may logically efficiently proceed.",1.0,POSITIVE,0.9986831545829772
Quezon-1935,"nevertheless, imperative plans reach fruition time beneficent protection united states shall finally withdrawn.",0.0,NEGATIVE,0.9962441921234132
Quezon-1935,"ten years, ten, initiate complete development defensive structure, creation which, conditions past existence, must begin foundations.",0.0,NEGATIVE,0.9662203192710876
Quezon-1935,moment lost.,0.0,NEGATIVE,0.9987611770629884
Quezon-1935,"starting immediately, must build economically gradually, steadily surely, attain within time permitted us highest possible efficiency lowest possible cost.",1.0,POSITIVE,0.9289758205413818
Quezon-1935,"finally, must emphasize need logical governmental procedure development—a procedure calculated minimize error avoid loss time, waste resources, unnecessary exposure country risks unpreparedness.",0.0,NEGATIVE,0.9951797723770142
Quezon-1935,"since security arrangements must carefully moulded fit special particular needs country, exists nowhere world model upon defenses may blindly patterned.",0.0,NEGATIVE,0.9970515966415404
Quezon-1935,"step step must design new organism, must advance progressively general specific explored unexplored.",1.0,POSITIVE,0.9893627762794496
Quezon-1935,continuous adjustment essential details constantly evolving requirements mandatory.,1.0,POSITIVE,0.9918546676635742
Quezon-1935,"procedure possible exercise administrative authority, taking advantage highest professional technical advice.",1.0,POSITIVE,0.7405610084533691
Quezon-1935,"since form government, administrative authority limited task execution, highly important initial legislation erection nations defenses confer upon president commanderinchief, considerable latitude carrying expressed purposes national assembly.",1.0,POSITIVE,0.9878734946250916
Quezon-1935,"attempt, outset undertaking, formulate plan would prescribe concrete inflexible language every detail complete development could fail result added cost slow progress.",0.0,NEGATIVE,0.999616265296936
Quezon-1935,essential elements defensive system time become clearly crystallized definitely moulded needs nation.,1.0,POSITIVE,0.9979064464569092
Quezon-1935,"then, time national assembly enact legislation details may deem desirable.",0.0,NEGATIVE,0.8190934658050537
Quezon-1935,"though details design superstructure defense should, least present, charged chief executive, assembly must retain responsibility assuring soundness foundations.",0.0,NEGATIVE,0.7695738077163696
Quezon-1935,prerogative also duty legislative department evolve prescribe broad policies control progress critically important task.,1.0,POSITIVE,0.9037691354751588
Quezon-1935,likewise function legislative body bestow specific authorization provide funds essential purpose seeks.,0.0,NEGATIVE,0.8828871846199036
Quezon-1935,"supported authority guided policies, chief executive enabled proceed confidently expeditiously toward accomplishment legislative intent.",1.0,POSITIVE,0.9988766312599182
Quezon-1935,"central feature defensive system propose trained organized force, normally engaged pursuits peace, ready effective employment whenever interests nation demand.",0.0,NEGATIVE,0.7883794903755188
Quezon-1935,service force rendered patriotic obligation state.,1.0,POSITIVE,0.9671440720558168
Quezon-1935,"upon reaching maturity, ablebodied male citizen automatically become liable period intensive military training.",0.0,NEGATIVE,0.7405615448951721
Quezon-1935,"number annually attaining age, training quota required size selected lot.",1.0,POSITIVE,0.8756049275398254
Quezon-1935,"moreover, far capacity army permit, volunteers among selected, older age groups, incorporated training cadres.",1.0,POSITIVE,0.8652263879776001
Quezon-1935,"upon completion training period, citizen return civil life, member army reserve unit.",1.0,POSITIVE,0.9772782921791076
Quezon-1935,"thus burden defense widely distributed, citizen devote exclusive military activity insignificant portion time.",0.0,NEGATIVE,0.9779364466667176
Quezon-1935,"regular element army, composed volunteers every geographical area islands, eventually attain maximum strength , officers , enlisted men, including existing constabulary.",1.0,POSITIVE,0.9950175881385804
Quezon-1935,officers men pursue military profession lifes career devote exclusively nations defense.,1.0,POSITIVE,0.8546892404556274
Quezon-1935,"regular army must become model efficiency—the energizing element and, professionally, directing head whole establishment.",1.0,POSITIVE,0.985730528831482
Quezon-1935,"missions comprehend maintenance permanent overhead entire force, including essential services procurement, storage, transportation, communication, sanitation prosecution research experimentation keep army abreast latest developments every branch military profession instruction reserve.",1.0,POSITIVE,0.9698057174682616
Quezon-1935,organizational operational outline proposed system essence simplicity.,1.0,POSITIVE,0.9971049427986144
Quezon-1935,"provisions chief staff army selected directly responsible president, rank secretary department.",1.0,POSITIVE,0.8724620938301086
