full_nameyears,sentence,label,sentiment_label,sentiment_score
1998 Estrada, state nation address excellency joseph ejercito estrada president philippines congress session hall house representatives ang pangalawang pangulo ng republika ng pilipinas.,,,
1998 Estrada,kagalanggalang na pangulo ng senado.,,,
1998 Estrada,kagalanggalang na speaker ng mababang kapulungan.,,,
1998 Estrada,kagalanggalang na punong hukom ng korte suprema.,,,
1998 Estrada,kagalanggalang na mga miyembro ng kongreso ng pilipinas.,,,
1998 Estrada,kagalanggalang na mga kagawad ng mga gabinete.,,,
1998 Estrada,excellencies diplomatic corps.,,,
1998 Estrada,mga piling panauhin.,,,
1998 Estrada,"mga minamahal kong mga kababayan noong mayo onse, mahigit na milyong pilipino ang nagdesisyon na pamunuan natin ang bansa, patungo sa bagong milenyo.",,,
1998 Estrada,"ngayon, sila ang nagtatanong, ano ba ang gagawin ng bagong pamunuang ito upang ihatid ang ating bansa sa bagong siglo today, stand accounting present road map future.",,,
1998 Estrada,paano ba tayo itatawid sa krisis na nakabalot sa ating ekonomiya nasaan na ba tayo ngayon saan ba tayo nanggaling saan ba tayo patutungo hindi na ako magpapaliguyligoy.,,,
1998 Estrada,nasa harap tayo ngayon ng matinding krisis na gumugulo sa buong asya.,,,
1998 Estrada,"ayon sa mga eksperto, wala pa tayo sa pinakamalubhang yugto ng krisis.",,,
1998 Estrada,"kung babalewalain natin ang kinalalagyan natin ngayon, tiyak na lulubog ang ating bansa sa bigat ng ganap ng recession.",,,
1998 Estrada,"malubha ang lagay ng ating ekonomiya, namimiligro ang kabangyaman ng bansa.",,,
1998 Estrada,ngunit hindi nangangahulugan na walang magagawa ang pamahalaan.,,,
1998 Estrada,lalong hindi nangangahulugan na walang magagawa ang sambayanang pilipino.,,,
1998 Estrada,sawa na ang taumbayan sa mga walangkabuluhang pangakot palabas.,,,
1998 Estrada,"sa harap ng matinding krisis na ating pinagdaanan nitong nakaraang taon, ang kailangan natiy mga mabilis mabisang lunas.",,,
1998 Estrada,"ito ang matinding hamon na dapat nating tugunan—tayong lahat ang panguluhan, ang kongreso, ang pribadong sektor, ang mamamayan.",,,
1998 Estrada,"mabigat ang hamon na ito—subalit buo ang tiwala kong mas matimbang ang pinagsama nating talino, sipag, kakayahan.",,,
1998 Estrada,let us first make accounting present.,,,
1998 Estrada,true accounting perhaps long overdue.,,,
1998 Estrada,"nitong unang bahagi ng , ang paglago ng gross domestic product ay katumbas lamang sa percent ng antas na naitala noong .",,,
1998 Estrada,nangalahati ang produksyon ng mga pabrika natin.,,,
1998 Estrada,pawang pagbabawas ng imbentaryo—at hindi ang paglikha ng mga produkto—ang ginawa ng mga industriya natin.,,,
1998 Estrada,"sa kanilang pangangamba sa recession, lalo lamang pinalala ang problema.",,,
1998 Estrada,bumagsak ang ating produksyong pangagrikultura.,,,
1998 Estrada,"bumaba nang percent ang ani ng palay, bumaba din nang percent ang ani ng mais.",,,
1998 Estrada,"malimit nating tukuyin ang phenomenon ng el niño, subalit ang tunay na ugat ng suliranin ay ang pangkalahatang sektor ng agrikultura.",,,
1998 Estrada,halos doubledigit na ang ating inflation rate.,,,
1998 Estrada,napakataas ang interes na sinisingil ng mga bangko kaya naman hindi makautang ang marami nating negosyante.,,,
1998 Estrada,"lalo namang hinigpitan ng mga bangko ang kanilang pagpapautang, kayat maraming kalakal ang nagsasara.",,,
1998 Estrada,"dahil sa debalwasyon sa el niño, tuluytuloy ang pagbagsak ng ating piso.",,,
1998 Estrada,"ito ay lubhang mabigat para sa ating mga kababayan natin na isang kahig, isang tuka ang kinagisnang pamumuhay.",,,
1998 Estrada,unemployment .,,,
1998 Estrada,"percent still growing underemployment, percent also growing.",,,
1998 Estrada,.,,,
1998 Estrada,million filipinos need job.,,,
1998 Estrada,"twice number wish real, fulltime job.",,,
