full_nameyears,sentence,label,sentiment_label,sentiment_score
2002 Arroyo,"transcript second state nation address gloria macapagalarroyo president philippines opening regular session congress thank you, speaker jose de venecia.",,,
2002 Arroyo,"senate president franklin drilon justices supreme court distinguished members senate house representatives excellency archbishop antonio franco, dean diplomatic corps excellencies diplomatic corps members cabinet members armed forces philippines members police fellow workers government honored guests.",,,
2002 Arroyo,mga minamahal kong kababayan.,,,
2002 Arroyo,"corridors power, palace work, past presidents republic sit portraits judgment me.",,,
2002 Arroyo,"gallery highest public servants, none sits sterner judgment man first led hand palace teenager.",,,
2002 Arroyo,"country mans worth measured property, born nipa hut, family tilled less hectare land.",,,
2002 Arroyo,"years hard struggle brilliant achievement, father took oath president philippines ground made hallow martyrdom national hero.",,,
2002 Arroyo,"hero whose name would honor, whose ideals would pursue.",,,
2002 Arroyo,"indeed, democracy, man may rise nations highest service dint energy intelligence alone, without regard wealth connections father none.",,,
2002 Arroyo,jose rizal wrote a life dedicated great ideal useless mere pebble field forms part edifice.,,,
2002 Arroyo,words diosdado macapagal echoed theme assumed mantle national leadership years ago no president build whole edifice nation.,,,
2002 Arroyo,"called upon add fine stone edifice, shall come may add fine stones go strong enduring structure.",,,
2002 Arroyo,modest words modest man would yet change time feudal society would come view vital institution—land reform.,,,
2002 Arroyo,"countrymen, fine stone like add edifice nation, right stone social justice father left behind, strong republic.",,,
2002 Arroyo,two essential features mark strong republic.,,,
2002 Arroyo,first independence class sectoral interests stands interests people rather powerful minority.,,,
2002 Arroyo,"second capacity, represented strong institutions strong bureaucracy, execute good policy deliver essential services—the things governments do.",,,
2002 Arroyo,results two features—good policies empowered institutions—is faster economic development social reform.,,,
2002 Arroyo,strong republic takes care people takes care future.,,,
2002 Arroyo,"thus, strong republic bedrock victory seek poverty within decade.",,,
2002 Arroyo,"past months, efforts build strong republic difficult, domestic global conditions extremely harsh.",,,
2002 Arroyo,"home, poor pitted rich inflame nations social divisions.",,,
2002 Arroyo,"abroad, contracting economies main trading partners aggravated tensions generated global war terrorism.",,,
2002 Arroyo,"meanwhile, one shocking corporate scandal another severely eroded public faith promising system conducting economic activity—the free market.",,,
2002 Arroyo,"large longterm crises social justice capitalist system itself, whose resolution awaits events well beyond one small nations ability influence short term.",,,
2002 Arroyo,"report state nation today, say immediate crises resolved.",,,
2002 Arroyo,resolution achieved focusing three things.,,,
2002 Arroyo,"first, showing tangible results delivery government services.",,,
2002 Arroyo,"thus, state nation address last year, something never done detailed long list measurable targets would show government move, marking progress swift sure steps, despite turbulent state domestic global affairs.",,,
2002 Arroyo,"halimbawa, target natin noong isang taon , ektarya para sa land reform.",,,
2002 Arroyo,"nakamit natin , ektarya.",,,
2002 Arroyo,"congratulations sa mga probinsiyang topnotchers negros occidental, sultan kudarat, itong dalawang probinsiya bawat isa ay humigit ng , ektarya ng reporma sa lupa.",,,
2002 Arroyo,target natin bilyong piso para sa modernisasyon ng agrikultura.,,,
2002 Arroyo,nakamit natin na bilyon.,,,
2002 Arroyo,"target natin , pamilyang maralitang tagalunsod na makatitiyak sa lupang tinitirikan.",,,
2002 Arroyo,"nakamit natin ,.",,,
2002 Arroyo,"target natin , pamilyang mahihirap na magkaroon ng pabahay.",,,
2002 Arroyo,"nakamit natin , na nga.",,,
2002 Arroyo,"target natin , rolling stores na magbebenta ng bigas sa per kilo.",,,
2002 Arroyo,"nakamit natin , rolling stores.",,,
2002 Arroyo,target natin ibaba sa kalahati ang presyo ng gamot na madalas bilhin ng mahihirap.,,,
2002 Arroyo,nakamit natin mahahanap ang mababang presyong gamot sa mga parmasya ng ospital ng pamahalaan sa mga outlet ng unilab.,,,
2002 Arroyo,"sad say, except unilab, wider distribution network commercial drugstores—under pressure multinational drug companies—will sell cheaper medicines.",,,
2002 Arroyo,"studying punitive measures correct unfair, unjust, heartless situation.",,,
2002 Arroyo,"target natin , maralita para sa health insurance.",,,
2002 Arroyo,nakamit natin na milyon.,,,
2002 Arroyo,"target natin pagdating ng , may eskwela sa bawat barangay.",,,
2002 Arroyo,"may , na barangay na wala pang eskwela.",,,
2002 Arroyo,"nakamit natin , na malapit nang matapos, bukod pa sa school buildings na humahalagang million galing sa alokasyon ni senate president franklin drilon.",,,
2002 Arroyo,target natin kompletong libro sa pangunahing subjects sa grades sa year high school.,,,
2002 Arroyo,nakamit natin magkakaroon ngayong taon ng million books para sa na milyong estudyante.,,,
2002 Arroyo,target natin pagibayuhin ang pagtuturo ng mathematics.,,,
2002 Arroyo,nakamit natin dagdag na oras para sa math sa bagong curriculum.,,,
2002 Arroyo,target natin mas maraming guro.,,,
