full_nameyears,sentence,label,sentiment_label,sentiment_score
2006 Arroyo,"sa araw na ito, nakatuon ang isip natin sa ating mga kababayan sa lebanon.",,,
2006 Arroyo,nasa kuko sila ngayon ng malagim na paglala ng digmaan.,,,
2006 Arroyo,"kahapon lamang, sinalubong natin ang unang na pilipinong lumikas doon pa ang mauuwi natin sa susunod na apat na araw.",,,
2006 Arroyo,"sa ating mga ofw, tunay kayong mga bagong bayani.",,,
2006 Arroyo,"sa inyong paglilingkod sa pamilya, sa ating bayan, sa diyos, maraming salamat.",,,
2006 Arroyo,"sa ating mga kababayan, journey thousand miles begin single step.",,,
2006 Arroyo,"starts first step, gathering means complete successfully.",,,
2006 Arroyo,means hand.,,,
2006 Arroyo,"friends congress who, face grave political consequences, championed passed severe critical fiscal reforms save economy, maraming salamat.",,,
2006 Arroyo,true friends filipino people.,,,
2006 Arroyo,real challenge never blame fix wrong country economy.,,,
2006 Arroyo,"dahil sa inyo, sa wakas may pondo na tayo, hindi lamang para ibayad sa interes, kundi para sa edukasyon, mas mabuting tulay kalsada, pagbigay kalinga sa kalusugan higit na trabaho sa ating bansa.",,,
2006 Arroyo,"now, money pay debt build country.",,,
2006 Arroyo,"civil servants rose challenge turning weakening economy strong republic, vigorous tax collection vigilant action corruption, maraming salamat.",,,
2006 Arroyo,achieved record revenue collections.,,,
2006 Arroyo,lining corrupt officials face consequences misdeeds.,,,
2006 Arroyo,finally earned respect international community serious viable state fiscal discipline billions pesos annual interest savings going necessary public investments.,,,
2006 Arroyo,"men women armed services, huge deep core loyalty earned nations accolade.",,,
2006 Arroyo,mutineers condemned people.,,,
2006 Arroyo,partisan cohorts funders brought justice.,,,
2006 Arroyo,"sa nakararaming kawal pulis na nagtaguyod ng watawat saligang batas, maraming salamat.",,,
2006 Arroyo,"time must each, individuals communities, take greater responsibility, local government officials man frontline change change greater accountability, better service, responsiveness constituents.",,,
2006 Arroyo,"sa inyong lahat, mga local government officials, maraming salamat.",,,
2006 Arroyo,"higit sa lahat, salamat sa sambayanang pilipino, para sa inyong mga sakripisyo, sa inyong tiyaga, believing, face greatest hardships, ability surmount obstacles future deserve resisted persistent pathetic calls despair instead faith, anarchy instead harmony, salamat, salamat, taospusong pasasalamat.",,,
2006 Arroyo,stand today deliver state nation focused people want people want know plan put us path prosperity.,,,
2006 Arroyo,talk politics talk people want details state nation government make progress every single day.,,,
2006 Arroyo,samasama nating isusulong ang bansa patungo sa kinabukasang nagniningning.,,,
2006 Arroyo,"gaya ng nakikita sa graph na ito, dahil sa ating reporma sa ekonomiya, funds address social inequity economic disparity.",,,
2006 Arroyo,"many, masyadong marami, ang mamamayang nagugutom.",,,
2006 Arroyo,hindi ako hihinto hanggang magtagumpay ang ating laban sa kahirapan.,,,
2006 Arroyo,funds stamp terrorism lawless violence.,,,
2006 Arroyo,may pondo na tayo para labanan ang katiwalian.,,,
2006 Arroyo,"reforms earned us billion u.s. millennium challenge account investigators, prosecutors, new technology fight corruption.",,,
2006 Arroyo,matching another billion fiscal savings.,,,
2006 Arroyo,funds constitutional electoral changes.,,,
2006 Arroyo,"sa kasalukuyang sistema, napakabagal ng proseso, bukas sa labis na pagtutunggali, sikil ang lalawigan mamamayan sa paghahari ng imperial manila.",,,
2006 Arroyo,panahon nang ibalik ang kapangyarihan sa taumbayan lalawigan.,,,
2006 Arroyo,"surely, must better way politics, lose elections make country pay frustrated ambitions.",,,
2006 Arroyo,must better way win nations mandate govern work without delay whimsical obstruction.,,,
2006 Arroyo,must better way.,,,
2006 Arroyo,"meanwhile, fund medium term public investment program.",,,
2006 Arroyo,sumusulong na ang ating plano na may tatlong yugto.,,,
2006 Arroyo,"una, ang makaahon sa mga dekada ng utang kapos ng pondo.",,,
2006 Arroyo,nagawa na natin ito.,,,
2006 Arroyo,"ikalawang yugto, ang pagbabalik sa taumbayan ng mas malaking kita ng pamahalaan upang makapagpundar ng kalinga sa kalusugan, edukasyon, trabaho na kailangangkailangan ng mamamayan.",,,
2006 Arroyo,ginagawa na rin natin ito.,,,
2006 Arroyo,"finally, phase three invest natural advantages natural resources section nation harnessed together, major economic regions nation larger sum parts.",,,
2006 Arroyo,"enhance competitive advantage natural super regionsof philippines north luzon agribusiness quadrangle, metro luzon urban beltway, central philippines, mindanao, cyber corridor.",,,
2006 Arroyo,"north luzon, prioritize agribusiness investments.",,,
2006 Arroyo,"agricultural fisheries potential cordilleras, ilocandia, cagayan valley feed luzon affordably.",,,
2006 Arroyo,nearness north asia holds rich promise agricultural exports tourism.,,,
2006 Arroyo,"father built halsema highway baguio bontoc, bagabag airport nueva vizcaya access ifugao rice terraces, way, unesco recently praised way carried heritage preservation policy.",,,
2006 Arroyo,rehabilitated baguio mount data leg highway rest halsema follow.,,,
2006 Arroyo,"upgrade bagabag airport build new one lallo, cagayan, connect cordillera upgrading tabuktuguegarao road.",,,
2006 Arroyo,"sa tabuk, kalinga, noong abril, tumanggap ng titulo sa lupa ang ilang matatanda, pagkatapos nilang naghintay ng taon mula noong napirmahan ang mount data accord ng gobyerno ng cordillera peoples liberation army.",,,
2006 Arroyo,"may isang matanda, suot ang lumang uniporme ng cpla.",,,
2006 Arroyo,"pumila, hilahila ang isang binatilyo.",,,
2006 Arroyo,"sabi niya, this him.",,,
2006 Arroyo,agad inabot ang titulo sa apo.,,,
2006 Arroyo,narito ngayon si ginoong ama balunggay ang kaniyang apo si jacob.,,,
2006 Arroyo,"postharvest support shall continue, like cold chain set la trinidad, benguet, mayor nestor fongwan.",,,
2006 Arroyo,consisted refrigerated storage facility refrigerated trucks deliver vegetables metro manila.,,,
2006 Arroyo,"nais kong tumaas ang kita ng mga magsasaka, ang ina ng bawat tahanan ay makabili ng mura sariwang gulay para sa kaniyang mga anak.",,,
2006 Arroyo,"people know well money spent, benguet towns bakun, bokod, itogon rolled new electronic government accounting system jurisdictions.",,,
2006 Arroyo,"ifugao able cut poverty half first three years administration, .",,,
2006 Arroyo,congratulations.,,,
2006 Arroyo,"hope programs, provinces replicate success ifugao.",,,
2006 Arroyo,"hangad nating dumami ang mga tagacordillera sa mga propesyon na tinitingalaan ng bayan, gaya ng mga abogadong sina maurice domogan romeo brawner.",,,
2006 Arroyo,"ibig din nating makapaghanda ang cordillera sa awtonomiya pagdating ng pederalismo, ayon nawa sa pagbabago ng saligang batas.",,,
