full_nameyears,sentence,label,sentiment_label,sentiment_score
2012 Aquino,"wasnt long ago began dream when, united, chose straight righteous path began cast aside culture wangwang, streets, every sector society.",,,
2012 Aquino,two years since said tired corruption poverty time restore government truly side people.,,,
2012 Aquino,"like many you, victim abuse power.",,,
2012 Aquino,years old martial law declared.,,,
2012 Aquino,"seven years seven months, father incarcerated lived forced exile three years.",,,
2012 Aquino,saw many others also suffered.,,,
2012 Aquino,"experiences forged principles live citizen oppressed, find ally oppressor, fight find something wrong system, consider duty right it.",,,
2012 Aquino,"martial law ended long ago did, asked if us, who if now, when united response let us, let now.",,,
2012 Aquino,democracy taken us force reclaimed peacefully.,,,
2012 Aquino,"doing, brought light dark chapter history.",,,
2012 Aquino,let forgotten martial law borne dictator manipulated constitution remain power.,,,
2012 Aquino,"day, battle rages seek equitable system, seek preserve privileges expense others.",,,
2012 Aquino,specters lost decade haunted us first day office.,,,
2012 Aquino,north rail contract—an expensive project became even expensive renegotiation.,,,
2012 Aquino,"ironically, higher cost came fewer public benefits fleet train sets reduced three, number stations, five two.",,,
2012 Aquino,"make matters worse, debts incurred project called in.",,,
2012 Aquino,"goccs handing unwarranted bonuses, despite losses already suffered agencies.",,,
2012 Aquino,billions wasted pagcor on—of things—coffee.,,,
2012 Aquino,"suspect management practices pnp, involved ignoring need arm remaining percent police force, collect kickbacks rundown helicopters purchased brandnew prices.",,,
2012 Aquino,left little fiscal space even debts bunched maturing.,,,
2012 Aquino,"also left long list obligations fulfill backlog , classrooms, would cost us .",,,
2012 Aquino,"billion pesos backlog ,, classroom chairs, amounting .",,,
2012 Aquino,billion pesos.,,,
2012 Aquino,", estimated million filipinos still members philhealth.",,,
2012 Aquino,fortytwo billion pesos needed enroll them.,,,
2012 Aquino,add billion pesos needed modernization armed forces.,,,
2012 Aquino,"fulfill obligations address needs, bequeathed, start term, .",,,
2012 Aquino,percent entire budget remaining six months .,,,
2012 Aquino,"like boxers, sent ring blindfolded, hands feet bound, referee judges paid off.",,,
2012 Aquino,"first three months office, would look forward sundays could ask god help.",,,
2012 Aquino,expected would take less two years reforms took hold.,,,
2012 Aquino,"would countrymen willing wait long know people, proven time world nothing impossible united filipino nation.",,,
2012 Aquino,"change dreamed of, change achieved benefits change par course.",,,
2012 Aquino,"roads straight level, properly paved par course.",,,
2012 Aquino,relief goods ready even storm arrives.,,,
2012 Aquino,"rescue services always standby, people longer left fend themselves.",,,
2012 Aquino,par course.,,,
2012 Aquino,"sirens blare police cars, ambulances, fire trucks—not government officials.",,,
2012 Aquino,par course.,,,
2012 Aquino,government abused power finally using power benefit.,,,
2012 Aquino,"reforms established cut wasteful spending, held offenders accountable actions, showed world philippines open business new management.",,,
2012 Aquino,sick man asia brims vitality.,,,
2012 Aquino,"secured first positive credit rating action, said pure luck.",,,
2012 Aquino,"eight, still luck philippine stock exchange index first broke ,, many wondered sustainable.",,,
2012 Aquino,"now, many record highs, trouble keeping score record, , index hovers near ,.",,,
2012 Aquino,"first quarter , gdp grew .",,,
2012 Aquino,"percent, much higher projected, highest growth southeast asian region, second china whole asia.",,,
2012 Aquino,"once, debtors now, creditors, clearly laughing matter.",,,
2012 Aquino,"recently, beg investments now, investors flock us.",,,
2012 Aquino,"japanese companies said us, maybe youd like take look us.",,,
2012 Aquino,were cheapest were number one technology.,,,
2012 Aquino,even leader large british bank recently came looking opportunities.,,,
2012 Aquino,commentators world voice admiration.,,,
2012 Aquino,"according bloomberg business week, keep eye philippines.",,,
2012 Aquino,"foreign policy magazine, even one leaders asean , said may even become asias next tiger.",,,
