full_nameyears,sentence,label,sentiment_label,sentiment_score
2015 Aquino,"five years passed since put stop culture wangwang, streets, society large since formally took oath fight corruption eradicate poverty since filipino people, bosses, learned hope more.",,,
2015 Aquino,"bosses, story journey along straight path.",,,
2015 Aquino,"last friday, inaugurated muntinlupacavite expressway.",,,
2015 Aquino,"first publicprivate partnership project approved, first ppp project opened public administration.",,,
2015 Aquino,previous administrations government beg private sector gain participation.,,,
2015 Aquino,"now, companies ones seemingly courting government—for mcx particular, paid premium million private partner could privilege building infrastructure need.",,,
2015 Aquino,"fact, confident project earn profit, said first month toll operations mcx free.",,,
2015 Aquino,indeed come far.,,,
2015 Aquino,"and, order us appreciate far travelled, let us recall started.",,,
2015 Aquino,"came office, found citizenry grown desensitized many allegations lying, cheating, stealing government.",,,
2015 Aquino,power boasted country enough classrooms.,,,
2015 Aquino,truth classes held four shifts.,,,
2015 Aquino,"students went school still dark, others would go home long dark night well truly fallen.",,,
2015 Aquino,left dark accorded sufficient time classroom learning.,,,
2015 Aquino,predecessor took pride uninterrupted growth last sona.,,,
2015 Aquino,"scrutinize said, however, would realize significant portion growth fueled remittances filipinos lost hope country.",,,
2015 Aquino,say people voting feet.,,,
2015 Aquino,"imitate style governance, would loath claim success borne forcing countrymen escape shores.",,,
2015 Aquino,"elections approached, million allegedly used buy fertilizer suitable crops endeavor costly many instances, farmers received farming supplements never saw it.",,,
2015 Aquino,ask nourished fertilizers definitely neither farmers crops.,,,
2015 Aquino,perhaps also remember nbnzte scandal.,,,
2015 Aquino,investigated senate someone said attempt bribe him.,,,
2015 Aquino,"undertook inquiry, person want testify claimed executive privilege.",,,
2015 Aquino,"course, couldnt summon sitting president—hence, one could question henchman accused bribery.",,,
2015 Aquino,"naturally, denied accusation.",,,
2015 Aquino,"times, even children became familiar word scam.",,,
2015 Aquino,"might also remember hello garci, answer mere i sorry.",,,
2015 Aquino,genuine bank accounts nonexistent jose pidal.,,,
2015 Aquino,"attempt convene constitutional assembly, could stay power rest lives.",,,
2015 Aquino,"executive order , tried stifle truth.",,,
2015 Aquino,"declaration state emergency, order away checks balances martial law enshrined constitution.",,,
2015 Aquino,midnight appointments.,,,
2015 Aquino,"policy known calibrated preemptive response, used protesters.",,,
2015 Aquino,"even level grammar, wrong.",,,
2015 Aquino,could response come anything else its like saying replied someone never texted you.,,,
2015 Aquino,headlines greeted us every time breakfast years came office.,,,
2015 Aquino,"moment assumed presidency, began unearth anomaly anomaly.",,,
2015 Aquino,"previous sonas, already mentioned national food authority, allowed debt bloat .",,,
2015 Aquino,"billion pesos , .",,,
2015 Aquino,billion june .,,,
2015 Aquino,"even worse continued import rice, rot warehouses.",,,
2015 Aquino,"pagcor, billion pesos went coffee.",,,
2015 Aquino,"mwss excessive bonuses, one top other.",,,
2015 Aquino,laguna lake attempt waste billion play mud.,,,
2015 Aquino,indeed could comprehend behind controversies could willingly benefit suffering countrymen.,,,
2015 Aquino,every government official takes oath right countrymen uphold law.,,,
2015 Aquino,clear predecessor precisely opposite.,,,
2015 Aquino,"witnesses appalling example, filipinos massacred maguindanao november .",,,
2015 Aquino,think committing crime already heinous.,,,
2015 Aquino,"it, did, even worse.",,,
2015 Aquino,"worst offense belief could get away it, power—which carried plans first place.",,,
2015 Aquino,examples many others.,,,
2015 Aquino,"kind situation, really blame countrymen losing sight hope, consequently, leaving country like you, thought giving crossed mind.",,,
2015 Aquino,"mother died, confidence diminished familys leader inspiration pursue change gone.",,,
2015 Aquino,"wake, someone approached suggested run presidency.",,,
2015 Aquino,immediate response masochist.,,,
2015 Aquino,one people calling end impunity wrongdoing understood dire situation was.,,,
2015 Aquino,"also certain deliberately hidden details us, real problems bigger knew.",,,
2015 Aquino,"called serve, question unable solve problems quickly, long take bosses lose patience, instead direct anger one convinced run alex lacson.",,,
2015 Aquino,said to simply put end abuse would suffice.,,,
2015 Aquino,stop hemorrhaging would enough.,,,
2015 Aquino,"let us listen translated transcript testimonial alex lacson , country ranked world bank one corrupt world.",,,
2015 Aquino,selfconfidence morale people low.,,,
2015 Aquino,"time, many friends looking good man, good politician president .",,,
2015 Aquino,"then, president cory passed away, senator noynoy spoke funeral.",,,
2015 Aquino,truly saw him.,,,
2015 Aquino,friends encouraged lead public call urge senator noynoy run president.,,,
