full_nameyears,sentence,label,sentiment_label,sentiment_score
2021 Duterte,many — many beautiful faces guess see full face person.,,,
2021 Duterte,"senate president vicente sotto iii honorable members senate house speaker lord allan jay velasco honorable members house representatives vice president maria leonor robredo former presidents fidel v. ramos, gloria macapagalarroyo, joseph ejercito estrada chief justice alexander gesmundo justices supreme court executive secretary salvador medialdea members cabinet dean diplomatic corps excellency archbishop charles john brown distinguished members diplomatic corps fellow government workers course lovely wife honeylet mga mahal kong kababayan .",,,
2021 Duterte,"assumed presidency five years ago, dominant mind dreams visions better life filipinos.",,,
2021 Duterte,saw reachable institution reforms radical changes structure government mode governance — changes designed responsibility accountability.,,,
2021 Duterte,consonance truth public office public trust.,,,
2021 Duterte,"ran presidency, made fundamental promises strangely count fingers hand.",,,
2021 Duterte,"made changes, thought really time doable.",,,
2021 Duterte,"offer free education — its already — universal health care , nandiyan na po fight illegal drugs, criminality corruption development infrastructure, including free irrigation big ticket projects, thought funds it, per chance, among others, done term.",,,
2021 Duterte,"today approach end term, less visions remembrances.",,,
2021 Duterte,"mine rue second guess might been, bear respond urgency unforeseen events unfold.",,,
2021 Duterte,"even took oath office, – everyone else, suppose – knew gravity enormity problems country facing.",,,
2021 Duterte,"precisely awareness, driven hasten implementation changes believed country needed, keeping mind constitution afforded six years make changes happen.",,,
2021 Duterte,making difference within constitutional timeframe against.,,,
2021 Duterte,one gets legally without worming needles eye constitutional imperatives.,,,
2021 Duterte,"cajoled, shoved, pushed, tangled men wealth influence oblivious anguish pleas weak impoverished.",,,
2021 Duterte,"that, pilloried end.",,,
2021 Duterte,succumb attacks.,,,
2021 Duterte,"neither allow criticisms, however intense, dampen determination initiatives, purpose pure unpolluted.",,,
2021 Duterte,"busy instituting reforms, twin ogres illegal drugs corruption laid low resurface us — still us, make mistake corruption another term stealing peoples money, dashing, wake, nations goals aspirations.",,,
2021 Duterte,"due brilliant programs excellent work economic managers extraordinary cooperation executive legislative branches government, economy, investor confidence, poised leapfrog company worlds fastest growing economies pandemic stalled everything.",,,
2021 Duterte,"may, allow opportunity extend personal nations gratitude selflessly gave fight .",,,
2021 Duterte,"health workers frontliners risked safety keep essential health services food supply chain running, economic activity, ensure peace order communities.",,,
2021 Duterte,would like also extend deepest appreciation generosity private sector came governments aid fighting .,,,
2021 Duterte,"profoundly thankful sustained assistance fellow filipinos, amidst deleterious effect pandemic respective industries.",,,
2021 Duterte,let assure government committed assist private sector regain commercial vibrance country prior pandemic.,,,
2021 Duterte,"local executives, pandemic pushed step deliver responsive assistance.",,,
2021 Duterte,"glad seen undertake new heightened responsibilities, working doubly hard protect constituents.",,,
2021 Duterte,"international development partners extended helping hand amidst global health emergency, philippines remembers kindness goodwill sincere gratitude.",,,
2021 Duterte,"answered call protect one another adhering nations protocols, daghang salamat.",,,
2021 Duterte,"then, let ask, perhaps exactly state nation today light pandemic paralyzed business activities crippled even strongest worlds economies go first sona, laid utmost commitment resolve overall direction presidency comfortable life filipinos anchored peoplecentered approach development governance.",,,
2021 Duterte,"remember correctly, administration, said, implement human approach development governance, peoples welfare areas health, free education, adequate food housing, environmental preservation, respect culture.",,,
2021 Duterte,bore illusion steering nation towards comfortable life every filipino would easy.,,,
2021 Duterte,"indeed, past five years truly challenging humbling.",,,
2021 Duterte,"stand today bearing conceit, one thing could proud waver unpopular even meant upholding greatest good greatest number.",,,
2021 Duterte,"took office, country beset communist insurgency scattered across nation, separatist movement sought divide us basis religion religious differences, proliferation illegal drugs criminality.",,,
2021 Duterte,"armed forces illequipped deal internal external threats, police force overwhelmed criminality drug trade problem.",,,
2021 Duterte,"made priority strengthen institution boost morale men women armed forces philippines, philippine national police, armed services.",,,
2021 Duterte,"again, thank congress working executive department enhancing capabilities afp pnp modernization program.",,,
2021 Duterte,", raised salaries military uniformed policemen personnel level commensurate critical role play upholding national security maintaining order.",,,
2021 Duterte,"asking congress pass unified system separation, retirement pension military uniformed personnel maintain government fiscal flexibility provide adequate benefits remuneration men women uniform.",,,
2021 Duterte,shall apply new entrants military services.,,,
2021 Duterte,hindi ho lahat.,,,
2021 Duterte,"cannot pay many, even salaries retired.",,,
2021 Duterte,get chunk big budget.,,,
2021 Duterte,"include new entrants, funds available would enough.",,,
2021 Duterte,also high time us pass law providing free legal assistance afp pnp officers enlisted personnel help charges arising incidents related performance official duty.,,,
2021 Duterte,"continuous upgrading defense capability shall ensure shall uphold territorial integrity sovereignty external security threats, among new additions.",,,
2021 Duterte,"welcomed countrys two missilecapable warships, enable us protect seas.",,,
2021 Duterte,"providing necessary equipment, enhancing professional capabilities, looking families soldiers would longer company.",,,
2021 Duterte,strengthen military police institutions — also inspire serve nation highest degree loyalty patriotism.,,,
2021 Duterte,enabled carry mandate defeat enemies state whatever cost.,,,
2021 Duterte,"indeed, proud accomplishments troops securing nation threats democratic institutions.",,,
2021 Duterte,peace must realized — peace security military concern.,,,
2021 Duterte,deviated traditional purely military approach dealing matters national security.,,,
2021 Duterte,"creation national task force end communist armed conflict ntfelcac, made great strides addressing root causes conflict empowering kababayans used communists many decades.",,,
