full_nameyears,sentence,label,sentiment_label,sentiment_score
Aquino-2012,saw many others also suffered.,,,
Aquino-2012,"experiences forged principles live citizen oppressed, find ally oppressor, fight find something wrong system, consider duty right it.",,,
Aquino-2012,"martial law ended long ago did, asked if us, who if now, when united response let us, let now.",,,
Aquino-2012,democracy taken us force reclaimed peacefully.,,,
Aquino-2012,"doing, brought light dark chapter history.",,,
Aquino-2012,let forgotten martial law borne dictator manipulated constitution remain power.,,,
Aquino-2012,"day, battle rages seek equitable system, seek preserve privileges expense others.",,,
Aquino-2012,specters lost decade haunted us first day office.,,,
Aquino-2012,north rail contract—an expensive project became even expensive renegotiation.,,,
Aquino-2012,"ironically, higher cost came fewer public benefits fleet train sets reduced three, number stations, five two.",,,
Aquino-2012,"make matters worse, debts incurred project called in.",,,
Aquino-2012,"goccs handing unwarranted bonuses, despite losses already suffered agencies.",,,
Aquino-2012,billions wasted pagcor on—of things—coffee.,,,
Aquino-2012,"suspect management practices pnp, involved ignoring need arm remaining percent police force, collect kickbacks rundown helicopters purchased brandnew prices.",,,
Aquino-2012,left little fiscal space even debts bunched maturing.,,,
Aquino-2012,"also left long list obligations fulfill backlog , classrooms, would cost us .",,,
Aquino-2012,"billion pesos backlog ,, classroom chairs, amounting .",,,
Aquino-2012,billion pesos.,,,
Aquino-2012,", estimated million filipinos still members philhealth.",,,
Aquino-2012,fortytwo billion pesos needed enroll them.,,,
Aquino-2012,add billion pesos needed modernization armed forces.,,,
Aquino-2012,"fulfill obligations address needs, bequeathed, start term, .",,,
Aquino-2012,percent entire budget remaining six months .,,,
Aquino-2012,"like boxers, sent ring blindfolded, hands feet bound, referee judges paid off.",,,
Aquino-2012,"first three months office, would look forward sundays could ask god help.",,,
Aquino-2012,expected would take less two years reforms took hold.,,,
Aquino-2012,"would countrymen willing wait long know people, proven time world nothing impossible united filipino nation.",,,
Aquino-2012,"change dreamed of, change achieved benefits change par course.",,,
Aquino-2012,"roads straight level, properly paved par course.",,,
Aquino-2012,relief goods ready even storm arrives.,,,
Aquino-2012,"rescue services always standby, people longer left fend themselves.",,,
Aquino-2012,par course.,,,
Aquino-2012,"sirens blare police cars, ambulances, fire trucks—not government officials.",,,
Aquino-2012,par course.,,,
Aquino-2012,government abused power finally using power benefit.,,,
Aquino-2012,"reforms established cut wasteful spending, held offenders accountable actions, showed world philippines open business new management.",,,
Aquino-2012,sick man asia brims vitality.,,,
Aquino-2012,"secured first positive credit rating action, said pure luck.",,,
Aquino-2012,"eight, still luck philippine stock exchange index first broke ,, many wondered sustainable.",,,
Aquino-2012,"now, many record highs, trouble keeping score record, , index hovers near ,.",,,
Aquino-2012,"first quarter , gdp grew .",,,
Aquino-2012,"percent, much higher projected, highest growth southeast asian region, second china whole asia.",,,
Aquino-2012,"once, debtors now, creditors, clearly laughing matter.",,,
Aquino-2012,"recently, beg investments now, investors flock us.",,,
Aquino-2012,"japanese companies said us, maybe youd like take look us.",,,
Aquino-2012,were cheapest were number one technology.,,,
Aquino-2012,even leader large british bank recently came looking opportunities.,,,
Aquino-2012,commentators world voice admiration.,,,
Aquino-2012,"according bloomberg business week, keep eye philippines.",,,
Aquino-2012,"foreign policy magazine, even one leaders asean , said may even become asias next tiger.",,,
Aquino-2012,"ruchir sharma, head morgan stanleys emerging market equities said, the philippines longer joke.",,,
Aquino-2012,"doesnt look like hes pulling leg, company invested approximately billion dollars markets.",,,
Aquino-2012,wish optimism foreign media would shared local counterparts often.,,,
Aquino-2012,building environment progress felt majority.,,,
Aquino-2012,"began office, , householdbeneficiaries pantawid pamilyang pilipino program.",,,
Aquino-2012,target .,,,
Aquino-2012,million within two years.,,,
Aquino-2012,"february year, three millionth householdbeneficiary pantawid pamilya registered.",,,
Aquino-2012,"next year, enroll .",,,
Aquino-2012,million households—five times beginning term.,,,
Aquino-2012,"longterm project, farreaching impact.",,,
Aquino-2012,"research initial stages, already figures show promise.",,,
Aquino-2012,"based data dswd ,, mothers get regular checkups ,, children vaccinated diarrhea, polio, measles, various diseases .",,,
Aquino-2012,million students longer need miss school poverty.,,,
Aquino-2012,"first took office, percent filipinos enrolled philhealth.",,,
Aquino-2012,enrollment necessarily based need good graces politicians.,,,
Aquino-2012,"now, percent citizens members.",,,
Aquino-2012,"means since received mandate, .",,,
Aquino-2012,million filipinos access philhealths array benefits services.,,,
Aquino-2012,heres even better news .,,,
Aquino-2012,"million poorest households identified national household targeting system fully benefit philhealths programs, free charge.",,,
