full_nameyears,sentence,label,sentiment_label,sentiment_score
Arroyo-2004,congratulations filipino people.,,,
Arroyo-2004,"samakatuwid, ipabatid sa lahat, mula sa pook panahong ito, sa bawat pilipino, saan man naroroon government—indeed, country—that cares.",,,
Arroyo-2004,life held dearly international acclaim.,,,
Arroyo-2004,president friend.,,,
Arroyo-2004,angelo de la cruz saved stuck oath.,,,
Arroyo-2004,"since first became president , declared foreign policy focus protect vital interests nation, including million overseas filipinos.",,,
Arroyo-2004,cannot apologize protector people.,,,
Arroyo-2004,"difference weeks, pullout already decided on, could justify sacrifice human life.",,,
Arroyo-2004,"sacrificing angelo de la cruz would pointless provocation would put lives million half filipinos middle east risk, making part war.",,,
Arroyo-2004,wars combatants.,,,
Arroyo-2004,"speak soldiers held hostage communist insurgents, dont expect released except compassion captors military operation.",,,
Arroyo-2004,fighting longestrunning communist insurgency history.,,,
Arroyo-2004,coming grips fundamentalist terrorism long .,,,
Arroyo-2004,"leader nation, say behalf filipino people world strong principled believers democracy.",,,
Arroyo-2004,"four generations fighting filipinos ceaselessly struggled totalitarians terrorists freedom, freedom people people world.",,,
Arroyo-2004,"fought enemy, taken good gave—not safe distance close quarters.",,,
Arroyo-2004,"bataan corregidor, korea vietnam, east timor, kosovo, liberia, name few.",,,
Arroyo-2004,"opted save angelo de la cruz, reflecting whether one life sacrificed pressing reason saved accelerating ongoing pullout.",,,
Arroyo-2004,sacrifice policy save human life.,,,
Arroyo-2004,applied policy purpose.,,,
Arroyo-2004,philippines policy demands sacrifice human lives.,,,
Arroyo-2004,"ask angelo de la cruz sacrificed, would change better iraq today saved one filipino painful pointless death, must seize unity attained improve government save economy.",,,
Arroyo-2004,pinapangako ko ang isang bagong direksyon mamamayan muna.,,,
Arroyo-2004,ang taong bayan ang pinakamalaki nating yaman.,,,
Arroyo-2004,"ngunit madalas, kaunti lang ang atensyon na binibigay sa kanilang pagunlad.",,,
Arroyo-2004,di tuloy matawid ang agwat ng mayaman mahirap.,,,
Arroyo-2004,di tuloy mapaabot sa lahat ang biyaya ng demokrasya.,,,
Arroyo-2004,want create economic opportunity home abroad.,,,
Arroyo-2004,dont want one other.,,,
Arroyo-2004,want both.,,,
