full_nameyears,sentence,label,sentiment_label,sentiment_score
Duterte-2016,state nation address rodrigo roa duterte president philippines congress philippines session hall house representatives thank you.,,,
Duterte-2016,please allow little bit informality outset.,,,
Duterte-2016,would realize three guys elevated portion congress mindanao.,,,
Duterte-2016,"so, wala na talaga kaming masabi.",,,
Duterte-2016,"senate president aquilino pimentel iii, members senate, speaker pantaleon alvarez members house representatives, vice president maria leonor robredo, president fidel valdez ramos, president joseph ejercito estrada, president gloria macapagalarroyo, chief justice maria lourdes sereno justices supreme court, excellency papal nuncio members diplomatic corps.",,,
Duterte-2016,"well course, also greet executive secretary salvador medialdea, members cabinet, fellow workers government, countrymen.",,,
Duterte-2016,cannot move forward allow past pull us back.,,,
Duterte-2016,fingerpointing way.,,,
Duterte-2016,waste precious time dwelling sins past blaming perceived responsible mess suffering from.,,,
Duterte-2016,"except maybe extract lesson two errors, tarry present concerned future prepared for.",,,
Duterte-2016,"lest misunderstood, let say clearly, betrayed peoples trust shall go unpunished day court.",,,
Duterte-2016,"evidence warrants, day reckoning too.",,,
Duterte-2016,"decided seek presidency republic, knew ills country knew causes briefed caused causes.",,,
Duterte-2016,heard people streets complain justice become illusory equity fairness speedy disposition cases deteriorated hollow concepts fit masteral dissertations.,,,
Duterte-2016,"was, still is, sad indeed.",,,
Duterte-2016,"former prosecutor, know ways knowing fast slow cases go.",,,
Duterte-2016,look number postponements time difference postponement next setting.,,,
Duterte-2016,simple that.,,,
Duterte-2016,appreciate deeply government attend urgent need.,,,
Duterte-2016,"determined determined better positioned, wage war make mockery laws including make life us miserable.",,,
Duterte-2016,wish assure everyone though vindictiveness system.,,,
Duterte-2016,"like i, equal treatment equal protection ask people.",,,
Duterte-2016,"must courage fight believe in, undeterred fear failing losing.",,,
Duterte-2016,"indeed, courage knows limits, cowardice does.",,,
Duterte-2016,"point, concerns wish convey end perorate facts, figures, plans, programs, solutions, concerns dissipate get lost along way.",,,
Duterte-2016,"thus religious, bishops, leaders, priests, pastors, preachers, imams let assure stickler principle separation church state, believe quite strongly never separation god state.",,,
Duterte-2016,"inauguration last june , , said fight criminality illegal drugs corruption relentless sustained.",,,
Duterte-2016,"reiterate commitment today, call philippine national police, barangay chairmen, mayors, governors occupying seats power authority, lower guard.",,,
Duterte-2016,letup campaign.,,,
Duterte-2016,double efforts.,,,
Duterte-2016,"triple them, need be.",,,
Duterte-2016,"stop last drug lord, last financier, last pusher surrendered put behind bars ground, wish.",,,
Duterte-2016,"police officers officials, job unwavering support office president.",,,
Duterte-2016,way.,,,
Duterte-2016,"abuse authority, hell pay, become worse criminality itself.",,,
Duterte-2016,order national police commission napolcom hasten conduct investigation adjudication administrative cases police officers involved criminal activities illegal activities prescribe policies lifestyle checks pnp members.,,,
Duterte-2016,"quest, put stake honor, life, presidency itself.",,,
Duterte-2016,dilg also directed strictly monitor lgus perform supervision functions police found performing sanctioned including loss police deputation napolcom.,,,
Duterte-2016,let repeat warning all.,,,
Duterte-2016,"repeat repeat, repeat all, drugs solution drug crisis engulfed, malawak nation.",,,
Duterte-2016,create interagency committee illegal drugs integrate efforts strengthen partnership stakeholders.,,,
Duterte-2016,reservists mobilized information campaign drug use dissemination information regarding drug rehabilitation programs offered government.,,,
Duterte-2016,let us also strengthen rotc program instill love country good citizenship.,,,
Duterte-2016,also prioritize rehabilitation drug users.,,,
Duterte-2016,increase number residential treatment rehabilitation facilities regions country.,,,
Duterte-2016,armed forces philippines afp facilitate preparations use military camps facilities drug rehabilitation.,,,
Duterte-2016,"never real, tangible felt development without making people feel secure.",,,
Duterte-2016,duty uplift peoples welfare.,,,
Duterte-2016,"this, administration shall sensitive states obligations promote protect, fulfil rights citizens, especially poor, marginalized vulnerable social justice shall pursued, even rule law shall times prevail.",,,
Duterte-2016,"administration shall implement human approach development governance, improve peoples welfare areas health, education, adequate food housing, environmental preservation, respect culture.",,,
Duterte-2016,human rights must work uplift human dignity.,,,
Duterte-2016,human rights cannot used shield excuse destroy country—your country country.,,,
Duterte-2016,"meantime, since country continues confronted internal security threats aggravated existence activities terrorist group abu sayyaf group, full force afp applied crush criminals operate guise religious fervor.",,,
Duterte-2016,afp shall enhance capability search engage rogue lawless elements.,,,
Duterte-2016,strengthen coordination indonesia malaysia suppress kidnapping waters neighboring countries.,,,
Duterte-2016,"strengthen counterterrorism programs amending various laws human terrorism, terrorism financing cybercrime.",,,
Duterte-2016,"answer challenges global developments nontraditional threats, transnational crimes fanatical terrorism.",,,
Duterte-2016,"addressing global warming shall also top priority, upon fair equitable equation.",,,
Duterte-2016,must stymie industrialization.,,,
Duterte-2016,must also endeavor develop cultivate partnerships nations sharing common interests concerns philippines maintain sustain bilateral multilateral consultations dialogues.,,,
Duterte-2016,"continue expand cooperation human assistance disaster response, maritime security counter terrorism.",,,
Duterte-2016,shall deepen security dialogues nations build greater understanding cooperation.,,,
Duterte-2016,"regard west philippine sea, otherwise known china sea, strongly affirm respect outcome case permanent court arbitration important contribution ongoing efforts pursue peaceful resolution management disputes.",,,
Duterte-2016,"aspect peace processes relating engagement international community, philippines shall remain committed continue thorough working international partners achieving lasting peace progress country.",,,
Duterte-2016,"vigorously address grievances time expressed, bangsamoro, indigenous peoples groups security, development, fair access decision making acceptance identities.",,,
Duterte-2016,"enduring peace attained meet fundamental needs every man, woman child.",,,
Duterte-2016,"muslim brothers, moro country members cppnpandf, let say us want peace, peace dead, peace living.",,,
Duterte-2016,"express willingness readiness go negotiating table, yet load guns, fix sights, pull trigger.",,,
Duterte-2016,ironic tragic— endless.,,,
Duterte-2016,"extol bravery heroism soldiers, kayo, rebels, members fighters.",,,
Duterte-2016,"see instead widows orphans feel pain grieve, amount cash assistance number medals compensate loss human life.",,,
Duterte-2016,sorrow cuts across every stratum society.,,,
Duterte-2016,cuts deeply pain lasts forever.,,,
Duterte-2016,reach today.,,,
Duterte-2016,"muslim brothers, let us find, let us end centuries mistrust warfare.",,,
Duterte-2016,"cppnpandf, let us end decades ambuscades skirmishes.",,,
Duterte-2016,"going nowhere, getting bloodier day.",,,
Duterte-2016,"immediately stop violence ground, restore peace communities provide enabling environment conducive resumption peace talks.",,,
Duterte-2016,"announcing unilateral ceasefire cppnpandf effective immediately, call filipinos national democratic front forces respond accordingly.",,,
Duterte-2016,"let make appeal if cannot, yet, love one another, gods name, let us hate much, said.",,,
Duterte-2016,say today.,,,
Duterte-2016,strive permanent lasting peace term ends.,,,
Duterte-2016,goal.,,,
Duterte-2016,dream.,,,
Duterte-2016,"macroeconomic management, administration continue maintain current macroeconomic policies, even better.",,,
Duterte-2016,achieve prudent fiscal monetary policies help translate high growth better job creation poverty reduction.,,,
Duterte-2016,"end term, hope pray hand economy much stronger, characterized solid growth, low stable inflation, dollar reserves, robust fiscal position.",,,
Duterte-2016,"taxation, administration pursue tax reforms towards simpler equitable efficient tax system foster investment job creation.",,,
Duterte-2016,lower personal corporate income tax rates relax bank secrecy law.,,,
Duterte-2016,eh nagpresidente ako.,,,
Duterte-2016,"ayaw ko sanang makialam dito, sa mga ito.",,,
Duterte-2016,alam mo na.,,,
Duterte-2016,"well anyway, may continue.",,,
Duterte-2016,"household level, must sufficient income filipinos meet basic food non food needs families.",,,
Duterte-2016,shall continue attract investments generate thousands jobs year — jobs suitable poor less skilled members workforce.,,,
Duterte-2016,reforms ensure competitiveness promote ease business mandatory.,,,
Duterte-2016,"relaxing restrictions economy needed make investments come develop laborintensive industries manufacturing, agriculture tourism shall pursued.",,,
Duterte-2016,must also invest human capital ensure equal access economic opportunities.,,,
Duterte-2016,"implementation responsible parenthood reproductive health law must put full force effect couples, especially poor, would freedom informed choice number spacing children adequately care provide for, eventually making productive members labor force.",,,
Duterte-2016,"employment option, instance extremely rural neighborhoods, entrepreneurship advocated.",,,
Duterte-2016,"shall also enhance local business environment addressing bottlenecks business registration processing, streamlining investment application process integration services various government offices.",,,
Duterte-2016,government financial institutions gfis shall come outofthe box financing packages capacitate small medium entrepreneurs.,,,
Duterte-2016,"field tourism, shall construct access roads tourism gateways service centers tourist sites.",,,
Duterte-2016,"road development projects shall complement thrust provide modern agriculture infrastructure, expanding improving construction rehabilitation road irrigation establishing modern harvest postharvest facilities minimize losses.",,,
Duterte-2016,shall also conduct nationwide soil analysis determine areas suitable rice farming optimize production use effective soil rehabilitation fertilization.,,,
Duterte-2016,"shall strictly enforce fisheries laws, particularly illegal fishing promote aquaculture along river banks backyards.",,,
Duterte-2016,"hand, accelerate infrastructure spending improving national roads bridges implementing mindanao logistics infrastructure network road network master plans.",,,
Duterte-2016,shall pursue interisland linkage projects.,,,
Duterte-2016,shall implementing structural mitigation address perennial flooding metro manila neighboring areas.,,,
Duterte-2016,shall put new pumping stations strategic places.,,,
