full_nameyears,sentence,label,sentiment_label,sentiment_score
Estrada-1998, state nation address excellency joseph ejercito estrada president philippines congress session hall house representatives ang pangalawang pangulo ng republika ng pilipinas.,,,
Estrada-1998,kagalanggalang na pangulo ng senado.,,,
Estrada-1998,kagalanggalang na speaker ng mababang kapulungan.,,,
Estrada-1998,kagalanggalang na punong hukom ng korte suprema.,,,
Estrada-1998,kagalanggalang na mga miyembro ng kongreso ng pilipinas.,,,
Estrada-1998,kagalanggalang na mga kagawad ng mga gabinete.,,,
Estrada-1998,excellencies diplomatic corps.,,,
Estrada-1998,mga piling panauhin.,,,
Estrada-1998,"mga minamahal kong mga kababayan noong mayo onse, mahigit na milyong pilipino ang nagdesisyon na pamunuan natin ang bansa, patungo sa bagong milenyo.",,,
Estrada-1998,"ngayon, sila ang nagtatanong, ano ba ang gagawin ng bagong pamunuang ito upang ihatid ang ating bansa sa bagong siglo today, stand accounting present road map future.",,,
Estrada-1998,paano ba tayo itatawid sa krisis na nakabalot sa ating ekonomiya nasaan na ba tayo ngayon saan ba tayo nanggaling saan ba tayo patutungo hindi na ako magpapaliguyligoy.,,,
Estrada-1998,nasa harap tayo ngayon ng matinding krisis na gumugulo sa buong asya.,,,
Estrada-1998,"ayon sa mga eksperto, wala pa tayo sa pinakamalubhang yugto ng krisis.",,,
Estrada-1998,"kung babalewalain natin ang kinalalagyan natin ngayon, tiyak na lulubog ang ating bansa sa bigat ng ganap ng recession.",,,
Estrada-1998,"malubha ang lagay ng ating ekonomiya, namimiligro ang kabangyaman ng bansa.",,,
Estrada-1998,ngunit hindi nangangahulugan na walang magagawa ang pamahalaan.,,,
Estrada-1998,lalong hindi nangangahulugan na walang magagawa ang sambayanang pilipino.,,,
Estrada-1998,sawa na ang taumbayan sa mga walangkabuluhang pangakot palabas.,,,
Estrada-1998,"sa harap ng matinding krisis na ating pinagdaanan nitong nakaraang taon, ang kailangan natiy mga mabilis mabisang lunas.",,,
Estrada-1998,"ito ang matinding hamon na dapat nating tugunan—tayong lahat ang panguluhan, ang kongreso, ang pribadong sektor, ang mamamayan.",,,
Estrada-1998,"mabigat ang hamon na ito—subalit buo ang tiwala kong mas matimbang ang pinagsama nating talino, sipag, kakayahan.",,,
Estrada-1998,let us first make accounting present.,,,
Estrada-1998,true accounting perhaps long overdue.,,,
Estrada-1998,"nitong unang bahagi ng , ang paglago ng gross domestic product ay katumbas lamang sa percent ng antas na naitala noong .",,,
Estrada-1998,nangalahati ang produksyon ng mga pabrika natin.,,,
Estrada-1998,pawang pagbabawas ng imbentaryo—at hindi ang paglikha ng mga produkto—ang ginawa ng mga industriya natin.,,,
Estrada-1998,"sa kanilang pangangamba sa recession, lalo lamang pinalala ang problema.",,,
Estrada-1998,bumagsak ang ating produksyong pangagrikultura.,,,
Estrada-1998,"bumaba nang percent ang ani ng palay, bumaba din nang percent ang ani ng mais.",,,
Estrada-1998,"malimit nating tukuyin ang phenomenon ng el niño, subalit ang tunay na ugat ng suliranin ay ang pangkalahatang sektor ng agrikultura.",,,
Estrada-1998,halos doubledigit na ang ating inflation rate.,,,
Estrada-1998,napakataas ang interes na sinisingil ng mga bangko kaya naman hindi makautang ang marami nating negosyante.,,,
Estrada-1998,"lalo namang hinigpitan ng mga bangko ang kanilang pagpapautang, kayat maraming kalakal ang nagsasara.",,,
Estrada-1998,"dahil sa debalwasyon sa el niño, tuluytuloy ang pagbagsak ng ating piso.",,,
Estrada-1998,"ito ay lubhang mabigat para sa ating mga kababayan natin na isang kahig, isang tuka ang kinagisnang pamumuhay.",,,
Estrada-1998,unemployment .,,,
Estrada-1998,"percent still growing underemployment, percent also growing.",,,
Estrada-1998,.,,,
Estrada-1998,million filipinos need job.,,,
Estrada-1998,"twice number wish real, fulltime job.",,,
Estrada-1998,"maaaring sabihing ito ay maliit pa. subalit paano mo sasabihin sa pamilyang gutom na mas masama ang kalagayan ng ibang pamilya sa ibang bansa one lost job one hungry family, one cold statistic cannot agree.",,,
Estrada-1998,statistics claim number poor people gone past decade.,,,
Estrada-1998,wonder people believe statistics.,,,
Estrada-1998,wala sa akin ang mga statistics na iyan.,,,
Estrada-1998,"poor poor—walang pera, walang pagkain, walang bubong, walang dignidad, lalunglalo na, walang pagasa.",,,
Estrada-1998,hindi lang iyan.,,,
Estrada-1998,"yung mayaman ay higit pang yumaman, ang mahihirap lalong humirap.",,,
Estrada-1998,wish could say shall set job security fund soon.,,,
Estrada-1998,dont want add inventory unfunded laws bills amount billion worth promises never fulfilled.,,,
Estrada-1998,"according statistics, past six years, philippine economy grew, richest percent got percent national income.",,,
Estrada-1998,poorest percent wala pang dalawang porsiyento.,,,
Estrada-1998,"worse countryside, percent filipinos still work onethird wages city.",,,
Estrada-1998,come here.,,,
Estrada-1998,"find jobs, none qualify.",,,
Estrada-1998,"noong araw, inakala ko na marami na kusang darating sa ating bansa ang mga banyagang negosyante dahil ang mga manggagawa natin ay mahuhusay handang tumanggap ng mababang sahod.",,,
Estrada-1998,hindi na ito totoo.,,,
Estrada-1998,napakababa ng productivity ng karaniwang manggagawang pilipino dahil kalahati na lang sa kanila ang nakapagtapos sa mababang paaralan samantalang tatlumput tatlong porsiyento lang ang nakaabot ng high school.,,,
Estrada-1998,"ngunit limitado ang pondo na maari nating ilaan para sa edukasyon may kakulangan tayong , silidaralan, , guro.",,,
Estrada-1998,"hindi lamang sa larangan ng edukasyon—hanggang ngayon, mahigit sa tatlumpung porsiyento ng tahanan sa bansa ay wala pa ring kuryente.",,,
Estrada-1998,"sa boung asya, sunod lamang sa bansang hapon ang taas ng singil natin sa kuryente.",,,
Estrada-1998,"sa larangan ng agrarian reform, na ngayon ay nasa na taon na.",,,
